id,naam,dgl_loc,lengte,wegtype,meetgeg,ref_begin,ref_eind,ref_loc,length_km,geometry_wkt,sensor_uri,sensor_type,centroid_lon,centroid_lat
5884,0301hrl0217ra0,RWS01_MONIBAS_0301hrl0217ra0,954.0,H,4,17650,17651,17652,0.9547725280023966,"LINESTRING (5.562194021239417 52.14088392220787, 5.561883601889722 52.13783350399375, 5.561756201889547 52.13656570399298, 5.561704301889473 52.135989003992634, 5.561685501889444 52.135638803992386, 5.561677901889423 52.13528270399219, 5.561679801889412 52.13495820399201, 5.561694001889415 52.13460160399176, 5.561710001889421 52.13435200399163, 5.561731701889435 52.13410800399141, 5.561764701889455 52.133806403991294, 5.561828801889504 52.13336290399105, 5.561906201889567 52.13294540399076, 5.562009901889652 52.13247930399047, 5.562048101889687 52.13232390399037)",sensor:meetvak_0,MeasurementSection,5.561874073749459,52.136596374013315
5824,0151hrl0454ra0,RWS01_MONIBAS_0151hrl0454ra0,496.0,H,4,17470,17471,17472,0.4969623375596936,"LINESTRING (4.314803978997201 51.86946941505716, 4.314367600624566 51.86942140383123, 4.312890300623072 51.869231403831094, 4.311874600622045 51.869122103830996, 4.310777500620935 51.86902620383094, 4.308454700618594 51.8688706038308, 4.307669885003609 51.86882602241588)",sensor:meetvak_1,MeasurementSection,4.311241476102022,51.86909833115455
4864,0281hrr0343ra0,RWS01_MONIBAS_0281hrr0343ra0,611.0,H,4,14590,14591,14592,0.6110064519330011,"LINESTRING (5.460395890515036 52.23319157976847, 5.460634301791928 52.233505604053555, 5.460953601792262 52.233885404053765, 5.46125490179258 52.23423580405399, 5.461559901792896 52.234566104054174, 5.461945401793296 52.23496130405441, 5.462332601793699 52.23534360405463, 5.462634001794011 52.23561640405478, 5.462968701794355 52.23590780405497, 5.463434901794839 52.236327204055215, 5.46393940179536 52.23674160405544, 5.46463200179607 52.23724190405574, 5.465349422783387 52.237737490377526)",sensor:meetvak_2,MeasurementSection,5.46274651618706,52.23560092034004
4863,3261hrl0052ra0,RWS01_MONIBAS_3261hrl0052ra0,3119.0,H,4,14587,14588,14589,3.1195038817912457,"LINESTRING (5.735520474699526 51.8270053004747, 5.73527 51.82698, 5.7347703 51.8269268, 5.7342486 51.8268577, 5.733633 51.8267661, 5.7317043 51.8264103, 5.7309908 51.8262507, 5.7303392 51.8260888, 5.7293687 51.82581, 5.7283572 51.8254862, 5.7274869 51.825175, 5.7266 51.82481, 5.72569 51.82441, 5.7176436 51.8204138, 5.711662 51.8174452, 5.70834 51.81577, 5.7069442 51.8150948, 5.7063459 51.814812, 5.7057309 51.8145427, 5.7051863 51.8143251, 5.7047173 51.8141485, 5.7041473 51.8139615, 5.7034786 51.8137574, 5.7025888 51.8135325, 5.7016721 51.8133316, 5.7004488 51.8131285, 5.6994992 51.8130054, 5.6988266 51.8129454, 5.6979321 51.8128943, 5.697350141521776 51.81288282356998)",sensor:meetvak_3,MeasurementSection,5.716447944202816,51.81982354126363
4862,0201hrl0463ra0,RWS01_MONIBAS_0201hrl0463ra0,779.0,H,4,14584,14585,14586,0.7797668199204175,"LINESTRING (4.653719075884982 52.00418308436418, 4.653641700972528 52.003985803918205, 4.653236700972076 52.003090803917644, 4.652700200971492 52.00219090391705, 4.652224800970985 52.00156290391664, 4.651805400970538 52.00107820391634, 4.651380600970089 52.000644603916065, 4.651070700969761 52.000337703915875, 4.650621600969293 51.999937903915644, 4.65008200096873 51.99949080391534, 4.649700500968328 51.99918930391516, 4.649195600967803 51.99882000391492, 4.64867210096726 51.99846070391472, 4.648205405491144 51.998164195516345)",sensor:meetvak_4,MeasurementSection,4.651300975403453,52.000879435855886
4861,0011hrl0164ra1,RWS01_MONIBAS_0011hrl0164ra1,515.0,H,4,14581,14582,14583,0.5156628345280031,"LINESTRING (5.119787009378552 52.31074722170411, 5.119401001453811 52.31095440410409, 5.118853601453278 52.31127000410429, 5.118319301452755 52.311584604104475, 5.117770101452223 52.31191470410469, 5.117120601451588 52.3122910041049, 5.116814301451291 52.31246660410498, 5.116484601450969 52.31264380410512, 5.116182501450674 52.3128035041052, 5.115801401450301 52.31300080410533, 5.115450601449957 52.313154604105414, 5.115055001449568 52.31332740410553, 5.114694401449217 52.31347950410562, 5.114265001448795 52.313650204105706, 5.114033201448566 52.31373610410581)",sensor:meetvak_5,MeasurementSection,5.116951233406321,52.31232528336571
4860,0501hrr0961rb0,RWS01_MONIBAS_0501hrr0961rb0,357.0,H,4,14578,14579,14580,0.3571461213186046,"LINESTRING (5.455935190444913 51.49552512187684, 5.4564097 51.4955757, 5.4573327 51.4956671, 5.4577571 51.4956104, 5.4582122 51.495617, 5.4585308 51.4956184, 5.4592375 51.495616, 5.4605389 51.4956132, 5.461050006721356 51.49561374961934)",sensor:meetvak_6,MeasurementSection,5.458489253202884,51.49561223101375
4859,0500vwr2382ra0,RWS01_MONIBAS_0500vwr2382ra0,390.0,H,4,14575,14576,14577,0.3901487013370525,"LINESTRING (6.027060005479973 52.48559798392179, 6.027071102364879 52.48593000418966, 6.027188202365016 52.48662820419005, 6.027288702365126 52.487002304190284, 6.02742510236527 52.48730840419047, 6.027625602365479 52.48764220419065, 6.027957202365817 52.48800860419085, 6.028278102366144 52.488293604190986, 6.028668102366538 52.48856480419117, 6.029014377754644 52.488770960582535)",sensor:meetvak_7,MeasurementSection,6.027719038068971,52.48737881267753
4858,0321hrr0540ra0,RWS01_MONIBAS_0321hrr0540ra0,4018.0,H,4,14572,14573,14574,4.0188992952317495,"LINESTRING (5.869075071812782 53.01547960979594, 5.8686804 53.01692, 5.8684888 53.0175845, 5.8682833 53.0181465, 5.8680987 53.0186308, 5.8678566 53.0191622, 5.8675773 53.0197052, 5.8672779 53.0202259, 5.8668533 53.0208973, 5.8664224 53.0214821, 5.8660329 53.0219886, 5.8654941 53.022612, 5.8648097 53.0233473, 5.8642072 53.0239235, 5.8634667 53.0245729, 5.8626499 53.0252319, 5.8618549 53.0258155, 5.8611952 53.0262633, 5.8600487 53.026977, 5.8584168 53.0279208, 5.8569188 53.0288498, 5.8555425 53.0297948, 5.8546015 53.0304859, 5.8540931 53.0309274, 5.8533864 53.0315781, 5.8527332 53.03226, 5.8519871 53.0331286, 5.8515676 53.0336715, 5.8512091 53.0341729, 5.8509349 53.0345808, 5.8505797 53.0351475, 5.8503808 53.0355007, 5.8501345 53.0359564, 5.8497745 53.0368165, 5.8495629 53.0373853, 5.8490735 53.0390009, 5.8486143 53.0405226, 5.8479743 53.0424782, 5.847515 53.0437154, 5.8472128 53.0445563, 5.8468334 53.0455279, 5.8462134 53.047012, 5.845841378595443 53.04787354943623)",sensor:meetvak_8,MeasurementSection,5.8565480160815495,53.031014274428514
4857,0271hrr0227ra0,RWS01_MONIBAS_0271hrr0227ra0,531.0,H,4,14569,14570,14571,0.5315874488823416,"LINESTRING (4.895336724548391 51.727352930531836, 4.896087 51.7280666, 4.8967 51.7285937, 4.8970201 51.7288591, 4.8973436 51.729113, 4.8980102 51.7296108, 4.8983865 51.729879, 4.8987986 51.7301594, 4.8992383 51.7304492, 4.8998524 51.730828, 4.900207632761231 51.73103408054418)",sensor:meetvak_9,MeasurementSection,4.897693687411513,51.72929701978942
