id,naam,dgl_loc,meetricht,wegtype,meetgeg,ref_mvak,longitude,latitude,geometry_wkt,sensor_uri,sensor_type
19536,0070vwj2010ra,RWS01_MONIBAS_0070vwj2010ra,97,H,3,,6.614673609619691,53.21757859329658,POINT (6.614673609619691 53.21757859329658),sensor:telpunt_0,CountingPoint
19535,0070vwe1974ra,RWS01_MONIBAS_0070vwe1974ra,188,H,3,,6.56515434551841,53.20145071761161,POINT (6.56515434551841 53.20145071761161),sensor:telpunt_1,CountingPoint
19534,0041hrr0118ra,RWS01_MONIBAS_0041hrr0118ra,221,H,3,,4.716468435976055,52.281217450233456,POINT (4.716468435976055 52.281217450233456),sensor:telpunt_2,CountingPoint
19533,0441hrr0180ra,RWS01_MONIBAS_0441hrr0180ra,207,H,3,,4.450636689252732,52.164539441996766,POINT (4.450636689252732 52.164539441996766),sensor:telpunt_3,CountingPoint
19532,0440vwb0181ra,RWS01_MONIBAS_0440vwb0181ra,172,H,3,,4.449545233756221,52.1642006595516,POINT (4.449545233756221 52.1642006595516),sensor:telpunt_4,CountingPoint
19531,10D0321E681ED007000B,RWS01_MONICA_10D0321E681ED007000B,34,H,3,,5.955653583166213,52.12241065359973,POINT (5.955653583166213 52.12241065359973),sensor:telpunt_5,CountingPoint
19530,0441hrr0199ra,RWS01_MONIBAS_0441hrr0199ra,237,H,3,,4.434697575000225,52.15069178321534,POINT (4.434697575000225 52.15069178321534),sensor:telpunt_6,CountingPoint
19529,0441hrr0195ra,RWS01_MONIBAS_0441hrr0195ra,224,H,3,,4.439166411252584,52.1529000784077,POINT (4.439166411252584 52.1529000784077),sensor:telpunt_7,CountingPoint
19528,0011hrr0868ra,RWS01_MONIBAS_0011hrr0868ra,69,H,3,,6.014205959869458,52.18517398053714,POINT (6.014205959869458 52.18517398053714),sensor:telpunt_8,CountingPoint
19527,00D00F06A04100200007,RWS01_MONICA_00D00F06A04100200007,122,H,3,,4.271661013397766,51.86848137711786,POINT (4.271661013397766 51.86848137711786),sensor:telpunt_9,CountingPoint
