site_id,speed_measurements,flow_measurements,avg_speed,avg_flow,max_speed,max_flow
PZH01_MST_0065_00,12,0,22.833333333333332,,47.0,
PZH01_MST_0029-00,12,0,10.833333333333334,,23.0,
PZH01_MST_0088_00,12,0,27.666666666666668,,45.0,
PZH01_MST_0661_00,12,0,20.666666666666668,,64.0,
PZH01_MST_0122_00,12,0,35.833333333333336,,76.0,
PZH01_MST_0088_01,12,0,15.666666666666666,,49.0,
PZH01_MST_0635_01_01,8,0,56.5,,61.0,
PZH01_MST_0661_01,12,0,28.166666666666668,,62.0,
PZH01_MST_0122_01,12,0,51.333333333333336,,86.0,
PZH01_MST_0635_01_00,8,0,51.25,,72.0,
PZH01_MST_0982_00,16,0,52.375,,93.0,
PZH01_MST_0684_00,12,0,23.333333333333332,,72.0,
PZH01_MST_0684_01,12,0,25.666666666666668,,79.0,
PZH01_MST_0935_01,12,0,37.166666666666664,,76.0,
PZH01_MST_0065_01,12,0,31.5,,49.0,
PZH01_MST_0935_00,12,0,40.5,,82.0,
PZH01_MST_0958_00,12,0,20.166666666666668,,34.0,
PZH01_MST_0958_01,12,0,12.0,,28.0,
PZH01_MST_0018_01,12,0,40.0,,83.0,
PZH01_MST_0832_01,12,0,36.333333333333336,,75.0,
PZH01_MST_0614_01,12,0,38.833333333333336,,80.0,
PZH01_MST_0614_00,12,0,24.0,,74.0,
PZH01_MST_0878_00,24,0,29.333333333333332,,63.0,
PZH01_MST_0076_01,12,0,36.0,,74.0,
PZH01_MST_0890_01,12,0,27.333333333333332,,84.0,
PZH01_MST_0832_00,12,0,28.0,,86.0,
PZH01_MST_0018_00,12,0,43.0,,90.0,
PZH01_MST_0031_01,12,0,-1.0,,-1.0,
PZH01_MST_0007_02,12,0,-1.0,,-1.0,
PZH01_MST_0867_00,12,0,26.5,,49.0,
PZH01_MST_0603_00,12,0,38.333333333333336,,88.0,
PZH01_MST_0031_00,12,0,1.3333333333333333,,6.0,
PZH01_MST_0924_00,12,0,28.666666666666668,,88.0,
PZH01_MST_0603_01,12,0,41.833333333333336,,65.0,
PZH01_MST_0867_01,12,0,32.333333333333336,,67.0,
PZH01_MST_0649_00,12,0,29.666666666666668,,62.0,
PZH01_MST_0890_00,12,0,19.666666666666668,,61.0,
PZH01_MST_0076_00,12,0,41.166666666666664,,86.0,
PZH01_MST_0924_01,12,0,24.666666666666668,,76.0,
PZH01_MST_0649_01,12,0,20.333333333333332,,63.0,
PZH01_MST_0672_01,12,0,26.333333333333332,,81.0,
PZH01_MST_0672_00,12,0,27.333333333333332,,84.0,
PZH01_MST_0007_00,24,0,-1.0,,-1.0,
PZH01_MST_0879_00,36,0,26.666666666666668,,73.0,
PZH01_MST_0856_02,24,0,17.916666666666668,,46.0,
PZH01_MST_0638_00,24,0,28.416666666666668,,73.0,
PZH01_MST_0913_00,24,0,25.583333333333332,,70.0,
PZH01_MST_0856_00,24,0,21.75,,54.0,
PZH01_MST_0638_02,24,0,31.833333333333332,,73.0,
PZH01_MST_0913_02,24,0,8.0,,53.0,
PZH01_MST_0969_00,24,0,25.833333333333332,,56.0,
PZH01_MST_0109_01,12,0,36.5,,75.0,
PZH01_MST_0109_00,12,0,51.833333333333336,,79.0,
PZH01_MST_0019_00,12,0,24.666666666666668,,76.0,
PZH01_MST_0019_01,12,0,38.333333333333336,,79.0,
PZH01_MST_0843_00,12,0,18.166666666666668,,39.0,
PZH01_MST_0820_01,12,0,25.833333333333332,,48.0,
PZH01_MST_0030_00,12,0,39.0,,86.0,
PZH01_MST_0820_00,12,0,23.666666666666668,,50.0,
PZH01_MST_0602_00,12,0,22.666666666666668,,70.0,
PZH01_MST_0030_01,12,0,22.333333333333332,,69.0,
PZH01_MST_0891_00,12,0,25.666666666666668,,79.0,
PZH01_MST_0891_01,12,0,34.333333333333336,,74.0,
PZH01_MST_0602_01,12,0,48.833333333333336,,81.0,
PZH01_MST_0650_01,12,0,19.0,,59.0,
PZH01_MST_0625_01,12,0,38.833333333333336,,65.0,
PZH01_MST_0625_00,12,0,14.333333333333334,,45.0,
PZH01_MST_0650_00,12,0,30.333333333333332,,64.0,
PZH01_MST_0673_01,12,0,25.666666666666668,,79.0,
PZH01_MST_0673_00,12,0,25.0,,77.0,
PZH01_MST_0843_01,12,0,17.333333333333332,,54.0,
PZH01_MST_0089_01,12,0,27.166666666666668,,58.0,
PZH01_MST_0121_00,12,0,40.333333333333336,,84.0,
PZH01_MST_0089_00,12,0,26.833333333333332,,56.0,
PZH01_MST_0121_01,12,0,34.333333333333336,,71.0,
PZH01_MST_0053_00,12,0,30.5,,62.0,
PZH01_MST_0981_01,8,0,58.75,,60.0,
PZH01_MST_0981_00,12,0,25.666666666666668,,55.0,
PZH01_MST_0053_01,12,0,26.333333333333332,,55.0,
PZH01_MST_0110_01,12,0,30.666666666666668,,94.0,
PZH01_MST_0110_00,12,0,42.0,,86.0,
PZH01_MST_0695_00,12,0,20.0,,62.0,
PZH01_MST_0970_00,12,0,9.5,,20.0,
PZH01_MST_0695_01,12,0,28.166666666666668,,59.0,
PZH01_MST_0970_01,12,0,35.166666666666664,,61.0,
PZH01_MST_0064_00,12,0,29.333333333333332,,61.0,
PZH01_MST_0064_01,12,0,26.0,,55.0,
PZH01_MST_0831_00,12,0,22.166666666666668,,46.0,
PZH01_MST_0831_01,12,0,30.5,,63.0,
PZH01_MST_0911_00,24,0,40.25,,105.0,
PZH01_MST_0911_02,24,0,32.666666666666664,,88.0,
PZH01_MST_0032_00,12,0,19.666666666666668,,61.0,
PZH01_MST_0627_00,12,0,23.666666666666668,,73.0,
PZH01_MST_0902_00,12,0,19.666666666666668,,61.0,
PZH01_MST_0604_01,12,0,38.666666666666664,,79.0,
PZH01_MST_0868_01,12,0,33.833333333333336,,75.0,
PZH01_MST_0604_00,12,0,41.833333333333336,,90.0,
PZH01_MST_0868_00,12,0,19.0,,59.0,
PZH01_MST_0032_01,12,0,28.0,,61.0,
PZH01_MST_0008_02,24,0,-1.0,,-1.0,
PZH01_MST_0627_01,12,0,36.666666666666664,,58.0,
PZH01_MST_0902_01,12,0,21.333333333333332,,66.0,
PZH01_MST_0671_00,12,0,40.333333333333336,,85.0,
PZH01_MST_0671_01,12,0,22.666666666666668,,70.0,
PZH01_MST_0008_00,24,0,13.75,,37.0,
PZH01_MST_0857_02,24,0,20.0,,71.0,
PZH01_MST_0880_00,12,0,23.666666666666668,,73.0,
PZH01_MST_0880_01,12,0,23.666666666666668,,73.0,
PZH01_MST_0020_00,12,0,25.333333333333332,,78.0,
PZH01_MST_0857_00,24,0,4.833333333333333,,19.0,
PZH01_MST_0020_01,12,0,39.833333333333336,,82.0,
PZH01_MST_0066_00,36,0,34.0,,88.0,
PZH01_MST_0087_00,12,0,15.0,,47.0,
PZH01_MST_0945_00,12,0,45.333333333333336,,72.0,
PZH01_MST_0683_00,24,0,18.333333333333332,,71.0,
PZH01_MST_0683_02,24,0,-1.0,,-1.0,
PZH01_MST_0055_01,12,0,29.166666666666668,,62.0,
PZH01_MST_0055_00,12,0,28.666666666666668,,62.0,
PZH01_MST_0087_01,12,0,26.0,,56.0,
PZH01_MST_0659_00,24,0,28.666666666666668,,103.0,
PZH01_MST_0934_00,12,0,21.333333333333332,,66.0,
PZH01_MST_0934_01,12,0,33.833333333333336,,72.0,
PZH01_MST_0842_00,12,0,25.5,,53.0,
PZH01_MST_0842_01,24,0,25.75,,67.0,
PZH01_MST_0615_00,12,0,38.333333333333336,,82.0,
PZH01_MST_0615_01,12,0,39.0,,82.0,
PZH01_MST_0021_01,12,0,38.333333333333336,,83.0,
PZH01_MST_0120_00,12,0,40.666666666666664,,64.0,
PZH01_MST_0923_01,12,0,21.333333333333332,,66.0,
PZH01_MST_0682_01,12,0,22.0,,68.0,
PZH01_MST_0923_00,12,0,36.0,,76.0,
PZH01_MST_0682_00,12,0,24.5,,53.0,
PZH01_MST_0980_01,12,0,43.0,,72.0,
PZH01_MST_0946_00,24,0,27.166666666666668,,60.0,
PZH01_MST_0054_01,12,0,28.5,,59.0,
PZH01_MST_0980_00,12,0,34.333333333333336,,70.0,
PZH01_MST_0054_00,12,0,42.666666666666664,,69.0,
PZH01_MST_0077_00,12,0,39.166666666666664,,80.0,
PZH01_MST_0077_01,12,0,38.5,,80.0,
PZH01_MST_0120_01,12,0,23.333333333333332,,72.0,
PZH01_MST_0119_00,24,0,19.916666666666668,,53.0,
PZH01_MST_0119_02,24,0,7.333333333333333,,49.0,
PZH01_MST_0979_00,12,0,27.5,,58.0,
PZH01_MST_0021_00,12,0,27.0,,83.0,
PZH01_MST_0979_01,12,0,29.833333333333332,,62.0,
PZH01_MST_0043_01,24,0,19.083333333333332,,80.0,
PZH01_MST_0637_01,8,0,25.5,,37.0,
PZH01_MST_0637_00,8,0,41.0,,55.0,
PZH01_MST_0912_00,24,0,25.666666666666668,,79.0,
PZH01_MST_0660_00,12,0,21.333333333333332,,66.0,
PZH01_MST_0912_02,24,0,25.333333333333332,,84.0,
PZH01_MST_0660_01,12,0,22.333333333333332,,69.0,
PZH01_MST_0108_01,12,0,21.833333333333332,,34.0,
PZH01_MST_0108_00,12,0,44.166666666666664,,71.0,
PZH01_MST_0830_01,12,0,17.666666666666668,,55.0,
PZH01_MST_0830_00,12,0,29.166666666666668,,49.0,
PZH01_MST_0968_01,24,0,22.0,,71.0,
PZH01_MST_0892_00,12,0,35.333333333333336,,108.0,
PZH01_MST_0869_01,12,0,35.666666666666664,,73.0,
PZH01_MST_0892_01,12,0,-1.0,,-1.0,
PZH01_MST_0901_00,12,0,-1.0,,-1.0,
PZH01_MST_0626_00,24,0,25.0,,55.0,
PZH01_MST_0099_01,24,0,22.666666666666668,,76.0,
PZH01_MST_0869_00,12,0,6.0,,17.0,
PZH01_MST_0901_01,12,0,-1.0,,-1.0,
PZH01_MST_0626_01,24,0,18.166666666666668,,57.0,
PZH01_MST_0957_00,12,0,17.666666666666668,,55.0,
PZH01_MST_0009_01,48,0,9.541666666666666,,54.0,
PZH01_MST_0009_00,24,0,24.75,,60.0,
PZH01_MST_0957_01,12,0,43.166666666666664,,53.0,
PZH01_MST_0043_00,24,0,21.583333333333332,,109.0,
PZH01_MST_0938_00,36,0,20.72222222222222,,52.0,
PZH01_MST_0915_02,24,0,34.75,,77.0,
PZH01_MST_0915_00,24,0,26.833333333333332,,89.0,
PZH01_MST_0669_00,12,0,19.333333333333332,,60.0,
PZH01_MST_0669_01,12,0,30.0,,61.0,
PZH01_MST_0835_01,12,0,17.333333333333332,,54.0,
PZH01_MST_0835_00,12,0,25.0,,54.0,
PZH01_MST_0113_00,12,0,27.666666666666668,,85.0,
PZH01_MST_0004_00,12,0,25.0,,77.0,
PZH01_MST_0950_00,24,0,5.166666666666667,,36.0,
PZH01_MST_0004_02,12,0,33.833333333333336,,73.0,
PZH01_MST_0113_01,12,0,38.5,,78.0,
PZH01_MST_0887_00,12,0,-1.0,,-1.0,
PZH01_MST_0623_00,12,0,19.333333333333332,,60.0,
PZH01_MST_0600_02,36,0,21.5,,54.0,
PZH01_MST_0623_01,12,0,16.333333333333332,,51.0,
PZH01_MST_0864_02,24,0,25.5,,67.0,
PZH01_MST_0887_01,12,0,38.666666666666664,,83.0,
PZH01_MST_0864_00,24,0,33.666666666666664,,88.0,
PZH01_MST_0600_00,24,0,24.916666666666668,,45.0,
PZH01_mst_0092_00,12,0,18.333333333333332,,57.0,
PZH01_MST_0102_01,12,0,7.166666666666667,,16.0,
PZH01_MST_0102_00,12,0,29.333333333333332,,62.0,
PZH01_MST_0949_02,24,0,22.583333333333332,,62.0,
PZH01_MST_0039_00,12,0,25.333333333333332,,78.0,
PZH01_MST_0853_01,12,0,19.0,,59.0,
PZH01_MST_0039_01,12,0,28.333333333333332,,58.0,
PZH01_MST_0853_00,12,0,19.333333333333332,,60.0,
PZH01_MST_0051_01,12,0,27.0,,61.0,
PZH01_MST_0962_00,36,0,21.72222222222222,,58.0,
PZH01_MST_0949_00,24,0,21.666666666666668,,74.0,
PZH01_MST_0051_00,12,0,47.0,,60.0,
PZH01_MST_0903_01,12,0,18.333333333333332,,57.0,
PZH01_MST_0903_00,12,0,24.666666666666668,,52.0,
PZH01_MST_0634_02,16,0,47.5,,80.0,
PZH01_MST_0634_00,16,0,51.5,,85.0,
PZH01_MST_0846_00,12,0,19.333333333333332,,60.0,
PZH01_MST_0846_01,12,0,28.833333333333332,,60.0,
PZH01_MST_0062_00,12,0,22.833333333333332,,49.0,
PZH01_MST_0062_01,12,0,41.666666666666664,,65.0,
PZH01_MST_0124_00,12,0,39.5,,81.0,
PZH01_MST_0124_01,12,0,26.0,,80.0,
PZH01_MST_0101_01,12,0,22.666666666666668,,51.0,
PZH01_MST_0101_00,12,0,5.333333333333333,,12.0,
PZH01_MST_0611_02,24,0,33.916666666666664,,85.0,
PZH01_MST_0073_00,36,0,12.555555555555555,,63.0,
PZH01_MST_0050_01,12,0,7.666666666666667,,17.0,
PZH01_MST_0611_00,24,0,44.666666666666664,,102.0,
PZH01_MST_0961_01,36,0,25.38888888888889,,77.0,
PZH01_MST_0961_00,24,0,28.5,,75.0,
PZH01_MST_0050_00,12,0,24.166666666666668,,52.0,
PZH01_MST_0927_01,12,0,40.166666666666664,,82.0,
PZH01_MST_0927_00,12,0,24.333333333333332,,75.0,
PZH01_MST_0658_00,24,0,10.833333333333334,,70.0,
PZH01_MST_0086_00,12,0,27.5,,60.0,
PZH01_MST_0086_01,12,0,22.5,,47.0,
PZH01_MST_0939_00,24,0,25.0,,79.0,
PZH01_MST_0916_00,24,0,13.5,,38.0,
PZH01_MST_0876_00,24,0,12.666666666666666,,60.0,
PZH01_MST_0670_02,24,0,7.333333333333333,,49.0,
PZH01_MST_0647_01,12,0,19.333333333333332,,60.0,
PZH01_MST_0647_00,12,0,39.833333333333336,,63.0,
PZH01_MST_0681_00,12,0,41.833333333333336,,87.0,
PZH01_MST_0876_02,24,0,34.166666666666664,,102.0,
PZH01_MST_0834_00,12,0,24.0,,74.0,
PZH01_MST_0834_01,12,0,37.5,,81.0,
PZH01_MST_0005_00,48,0,16.25,,59.0,
PZH01_MST_0005_01,36,0,21.22222222222222,,73.0,
PZH01_MST_0865_00,36,0,29.11111111111111,,66.0,
PZH01_MST_0681_01,12,0,34.666666666666664,,71.0,
PZH01_MST_0622_00,12,0,23.666666666666668,,73.0,
PZH01_MST_0670_00,24,0,16.5,,54.0,
PZH01_MST_0622_01,12,0,45.166666666666664,,75.0,
PZH01_MST_0865_02,24,0,33.583333333333336,,77.0,
PZH01_mst_0091_01,12,0,28.333333333333332,,59.0,
PZH01_MST_0854_00,24,0,13.5,,39.0,
PZH01_MST_0613_01,12,0,36.666666666666664,,77.0,
PZH01_MST_0877_01,12,0,39.0,,80.0,
PZH01_MST_0877_00,12,0,49.5,,78.0,
PZH01_MST_0613_00,12,0,25.333333333333332,,78.0,
PZH01_MST_0075_01,12,0,42.5,,67.0,
PZH01_MST_0075_00,12,0,38.833333333333336,,79.0,
PZH01_MST_0854_02,12,0,4.5,,12.0,
PZH01_MST_0052_00,12,0,22.833333333333332,,47.0,
PZH01_MST_0948_02,24,0,15.166666666666666,,42.0,
PZH01_MST_0017_01,12,0,24.666666666666668,,76.0,
PZH01_MST_0017_00,12,0,40.666666666666664,,85.0,
PZH01_MST_0948_00,24,0,17.583333333333332,,47.0,
PZH01_MST_0052_01,12,0,24.833333333333332,,52.0,
PZH01_MST_0845_01,12,0,33.0,,54.0,
PZH01_MST_0925_00,12,0,20.666666666666668,,64.0,
PZH01_MST_0845_00,12,0,24.166666666666668,,50.0,
PZH01_MST_0925_01,12,0,20.666666666666668,,64.0,
PZH01_MST_0656_01,12,0,33.333333333333336,,71.0,
PZH01_MST_0680_00,12,0,28.0,,86.0,
PZH01_MST_0680_01,12,0,25.333333333333332,,78.0,
PZH01_MST_0656_00,12,0,43.666666666666664,,133.0,
PZH01_MST_0679_00,12,0,31.333333333333332,,96.0,
PZH01_MST_0679_01,12,0,31.0,,95.0,
PZH01_MST_0914_00,24,0,19.666666666666668,,65.0,
PZH01_MST_0123_00,12,0,25.833333333333332,,60.0,
PZH01_MST_0123_01,12,0,29.5,,61.0,
PZH01_MST_0645_01,12,0,52.166666666666664,,82.0,
PZH01_MST_0914_02,24,0,30.333333333333332,,69.0,
PZH01_MST_0645_00,12,0,46.666666666666664,,72.0,
PZH01_MST_0983_00,16,0,39.5,,66.0,
PZH01_MST_0888_01,12,0,35.166666666666664,,72.0,
PZH01_MST_0112_00,12,0,29.166666666666668,,62.0,
PZH01_MST_0624_01,12,0,20.0,,62.0,
PZH01_MST_0112_01,12,0,31.666666666666668,,66.0,
PZH01_MST_0888_00,12,0,30.5,,63.0,
PZH01_MST_0624_00,12,0,20.333333333333332,,63.0,
PZH01_MST_0041_01,12,0,53.5,,84.0,
PZH01_MST_0959_00,24,0,19.666666666666668,,54.0,
PZH01_MST_0972_01,24,0,32.0,,84.0,
PZH01_MST_0041_00,12,0,60.0,,74.0,
PZH01_MST_0959_01,24,0,15.333333333333334,,55.0,
PZH01_MST_0972_00,16,0,29.25,,64.0,
PZH01_MST_0096_00,36,0,15.555555555555555,,35.0,
PZH01_MST_0833_00,12,0,17.333333333333332,,54.0,
PZH01_MST_0833_01,12,0,16.333333333333332,,51.0,
PZH01_MST_0006_01,36,0,24.72222222222222,,71.0,
PZH01_MST_0904_01,12,0,38.833333333333336,,81.0,
PZH01_MST_0006_00,24,0,17.5,,55.0,
PZH01_MST_0866_00,12,0,34.5,,73.0,
PZH01_MST_0904_00,12,0,24.0,,74.0,
PZH01_MST_0866_01,12,0,34.666666666666664,,72.0,
PZH01_MST_0889_01,12,0,40.5,,85.0,
PZH01_MST_0111_00,12,0,24.666666666666668,,76.0,
PZH01_MST_0111_01,12,0,37.833333333333336,,77.0,
PZH01_MST_0889_00,12,0,26.333333333333332,,81.0,
PZH01_MST_0971_01,36,0,17.77777777777778,,51.0,
PZH01_MST_0040_00,12,0,-1.0,,-1.0,
PZH01_MST_0063_00,12,0,10.0,,23.0,
PZH01_MST_0040_01,12,0,-1.0,,-1.0,
PZH01_MST_0063_01,12,0,10.0,,21.0,
PZH01_MST_0937_00,36,0,37.611111111111114,,102.0,
PZH01_MST_0029_01,12,0,30.0,,63.0,
PZH01_MST_0100_01,12,0,31.333333333333332,,50.0,
PZH01_MST_0612_00,12,0,27.333333333333332,,54.0,
PZH01_MST_0100_00,12,0,13.333333333333334,,42.0,
PZH01_MST_0074_01,24,0,0.5,,8.0,
PZH01_MST_0960_01,12,0,42.0,,73.0,
PZH01_MST_0074_00,12,0,37.333333333333336,,82.0,
PZH01_MST_0612_01,12,0,41.0,,68.0,
PZH01_MST_0668_01,12,0,37.833333333333336,,82.0,
PZH01_MST_0960_00,12,0,29.333333333333332,,62.0,
