site_id,timestamp,measurement_index,flow_rate,num_values_used,std_deviation,flow_category
PZH01_MST_0065_00,2025-10-23 14:10:00+00:00,2,1080.0,,,Heavy
PZH01_MST_0065_00,2025-10-23 14:10:00+00:00,,1080.0,,,Heavy
PZH01_MST_0065_00,2025-10-23 14:10:00+00:00,5,240.0,,,Light
PZH01_MST_0065_00,2025-10-23 14:10:00+00:00,,240.0,,,Light
PZH01_MST_0065_00,2025-10-23 14:10:00+00:00,6,1320.0,,,Heavy
PZH01_MST_0065_00,2025-10-23 14:10:00+00:00,,1320.0,,,Heavy
PZH01_MST_0029-00,2025-10-23 14:10:00+00:00,2,600.0,,,Moderate
PZH01_MST_0029-00,2025-10-23 14:10:00+00:00,,600.0,,,Moderate
PZH01_MST_0029-00,2025-10-23 14:10:00+00:00,3,240.0,,,Light
PZH01_MST_0029-00,2025-10-23 14:10:00+00:00,,240.0,,,Light
PZH01_MST_0029-00,2025-10-23 14:10:00+00:00,6,840.0,,,Moderate
PZH01_MST_0029-00,2025-10-23 14:10:00+00:00,,840.0,,,Moderate
PZH01_MST_0088_00,2025-10-23 14:10:00+00:00,2,660.0,,,Moderate
PZH01_MST_0088_00,2025-10-23 14:10:00+00:00,,660.0,,,Moderate
PZH01_MST_0088_00,2025-10-23 14:10:00+00:00,3,60.0,,,Light
PZH01_MST_0088_00,2025-10-23 14:10:00+00:00,,60.0,,,Light
PZH01_MST_0088_00,2025-10-23 14:10:00+00:00,5,60.0,,,Light
PZH01_MST_0088_00,2025-10-23 14:10:00+00:00,,60.0,,,Light
PZH01_MST_0088_00,2025-10-23 14:10:00+00:00,6,780.0,,,Moderate
PZH01_MST_0088_00,2025-10-23 14:10:00+00:00,,780.0,,,Moderate
PZH01_MST_0661_00,2025-10-23 14:10:00+00:00,2,120.0,,,Light
PZH01_MST_0661_00,2025-10-23 14:10:00+00:00,,120.0,,,Light
PZH01_MST_0661_00,2025-10-23 14:10:00+00:00,6,120.0,,,Light
PZH01_MST_0661_00,2025-10-23 14:10:00+00:00,,120.0,,,Light
PZH01_MST_0122_00,2025-10-23 14:10:00+00:00,2,420.0,,,Light
PZH01_MST_0122_00,2025-10-23 14:10:00+00:00,,420.0,,,Light
PZH01_MST_0122_00,2025-10-23 14:10:00+00:00,3,180.0,,,Light
PZH01_MST_0122_00,2025-10-23 14:10:00+00:00,,180.0,,,Light
PZH01_MST_0122_00,2025-10-23 14:10:00+00:00,6,600.0,,,Moderate
PZH01_MST_0122_00,2025-10-23 14:10:00+00:00,,600.0,,,Moderate
PZH01_MST_0088_01,2025-10-23 14:10:00+00:00,2,900.0,,,Moderate
PZH01_MST_0088_01,2025-10-23 14:10:00+00:00,,900.0,,,Moderate
PZH01_MST_0088_01,2025-10-23 14:10:00+00:00,6,900.0,,,Moderate
PZH01_MST_0088_01,2025-10-23 14:10:00+00:00,,900.0,,,Moderate
PZH01_MST_0635_01_01,2025-10-23 14:10:00+00:00,1,840.0,,,Moderate
PZH01_MST_0635_01_01,2025-10-23 14:10:00+00:00,,840.0,,,Moderate
PZH01_MST_0635_01_01,2025-10-23 14:10:00+00:00,2,180.0,,,Light
PZH01_MST_0635_01_01,2025-10-23 14:10:00+00:00,,180.0,,,Light
PZH01_MST_0635_01_01,2025-10-23 14:10:00+00:00,3,60.0,,,Light
PZH01_MST_0635_01_01,2025-10-23 14:10:00+00:00,,60.0,,,Light
PZH01_MST_0635_01_01,2025-10-23 14:10:00+00:00,4,1080.0,,,Heavy
PZH01_MST_0635_01_01,2025-10-23 14:10:00+00:00,,1080.0,,,Heavy
PZH01_MST_0661_01,2025-10-23 14:10:00+00:00,2,480.0,,,Light
PZH01_MST_0661_01,2025-10-23 14:10:00+00:00,,480.0,,,Light
PZH01_MST_0661_01,2025-10-23 14:10:00+00:00,4,60.0,,,Light
PZH01_MST_0661_01,2025-10-23 14:10:00+00:00,,60.0,,,Light
PZH01_MST_0661_01,2025-10-23 14:10:00+00:00,6,540.0,,,Moderate
PZH01_MST_0661_01,2025-10-23 14:10:00+00:00,,540.0,,,Moderate
PZH01_MST_0122_01,2025-10-23 14:10:00+00:00,2,600.0,,,Moderate
PZH01_MST_0122_01,2025-10-23 14:10:00+00:00,,600.0,,,Moderate
PZH01_MST_0122_01,2025-10-23 14:10:00+00:00,3,180.0,,,Light
PZH01_MST_0122_01,2025-10-23 14:10:00+00:00,,180.0,,,Light
PZH01_MST_0122_01,2025-10-23 14:10:00+00:00,5,60.0,,,Light
PZH01_MST_0122_01,2025-10-23 14:10:00+00:00,,60.0,,,Light
PZH01_MST_0122_01,2025-10-23 14:10:00+00:00,6,840.0,,,Moderate
PZH01_MST_0122_01,2025-10-23 14:10:00+00:00,,840.0,,,Moderate
PZH01_MST_0635_01_00,2025-10-23 14:10:00+00:00,1,780.0,,,Moderate
PZH01_MST_0635_01_00,2025-10-23 14:10:00+00:00,,780.0,,,Moderate
PZH01_MST_0635_01_00,2025-10-23 14:10:00+00:00,2,120.0,,,Light
PZH01_MST_0635_01_00,2025-10-23 14:10:00+00:00,,120.0,,,Light
PZH01_MST_0635_01_00,2025-10-23 14:10:00+00:00,4,900.0,,,Moderate
PZH01_MST_0635_01_00,2025-10-23 14:10:00+00:00,,900.0,,,Moderate
PZH01_MST_0982_00,2025-10-23 14:10:00+00:00,1,600.0,,,Moderate
PZH01_MST_0982_00,2025-10-23 14:10:00+00:00,,600.0,,,Moderate
PZH01_MST_0982_00,2025-10-23 14:10:00+00:00,4,600.0,,,Moderate
PZH01_MST_0982_00,2025-10-23 14:10:00+00:00,,600.0,,,Moderate
PZH01_MST_0982_00,2025-10-23 14:10:00+00:00,9,780.0,,,Moderate
PZH01_MST_0982_00,2025-10-23 14:10:00+00:00,,780.0,,,Moderate
PZH01_MST_0982_00,2025-10-23 14:10:00+00:00,10,60.0,,,Light
PZH01_MST_0982_00,2025-10-23 14:10:00+00:00,,60.0,,,Light
PZH01_MST_0982_00,2025-10-23 14:10:00+00:00,12,840.0,,,Moderate
PZH01_MST_0982_00,2025-10-23 14:10:00+00:00,,840.0,,,Moderate
PZH01_MST_0684_00,2025-10-23 14:10:00+00:00,2,480.0,,,Light
PZH01_MST_0684_00,2025-10-23 14:10:00+00:00,,480.0,,,Light
PZH01_MST_0684_00,2025-10-23 14:10:00+00:00,6,480.0,,,Light
PZH01_MST_0684_00,2025-10-23 14:10:00+00:00,,480.0,,,Light
PZH01_MST_0684_01,2025-10-23 14:10:00+00:00,2,300.0,,,Light
PZH01_MST_0684_01,2025-10-23 14:10:00+00:00,,300.0,,,Light
PZH01_MST_0684_01,2025-10-23 14:10:00+00:00,6,300.0,,,Light
PZH01_MST_0684_01,2025-10-23 14:10:00+00:00,,300.0,,,Light
PZH01_MST_0935_01,2025-10-23 14:10:00+00:00,2,780.0,,,Moderate
PZH01_MST_0935_01,2025-10-23 14:10:00+00:00,,780.0,,,Moderate
PZH01_MST_0935_01,2025-10-23 14:10:00+00:00,3,120.0,,,Light
PZH01_MST_0935_01,2025-10-23 14:10:00+00:00,,120.0,,,Light
PZH01_MST_0935_01,2025-10-23 14:10:00+00:00,6,900.0,,,Moderate
PZH01_MST_0935_01,2025-10-23 14:10:00+00:00,,900.0,,,Moderate
PZH01_MST_0065_01,2025-10-23 14:10:00+00:00,2,1320.0,,,Heavy
PZH01_MST_0065_01,2025-10-23 14:10:00+00:00,,1320.0,,,Heavy
