id,externalId,validatedOn,rvvCode,blackCode,zoneCode,status,side,roadName,roadType,roadNumber,roadSectionId,nwbVersion,countyName,countyCode,townName,bgtCode,firstSeenOn,lastSeenOn,placedOn,removedOn,longitude,latitude,geometry_wkt,sign_meaning
0000a950-05b8-4e5b-9c56-eda8c8937150,,,E11,,,PLACED,W,Harlingerstraatweg,,,362559128.0,2024-03-01,Leeuwarden,GM0080,Leeuwarden,,2020-11-25,2022-11-22,,,5.7783832209199,53.204855055522,POINT (5.778383 53.204855),End of controlled parking zone
001f979c-e743-4433-97a4-f31bfa3feace,,,E11,,ZE,PLACED,N,Achterweg,,,219439037.0,2024-03-01,Bergen (NH),GM0373,Bergen (NH),,2016-09-21,2024-02-19,,,4.7156179771122,52.662967276681,POINT (4.715618 52.662967),End of controlled parking zone
002c36a6-2dd4-43ec-86fe-1d61d39cb965,,,E11,,,PLACED,N,Emmakade,,,353478008.0,2024-03-01,De Fryske Marren,GM1940,Lemmer,,2016-07-14,2022-06-27,,,5.7118143159611,52.842649899575,POINT (5.711814 52.84265),End of controlled parking zone
00311b3a-9de0-41aa-afdf-abfd6b55e0b6,,,E11,,,PLACED,N,Vincent van Goghplein,,,206197043.0,2024-03-01,Etten-Leur,GM0777,Etten-Leur,,2016-11-16,2022-09-07,,,4.6432418468222,51.572901817928,POINT (4.643242 51.572902),End of controlled parking zone
003129bb-2b90-4bbe-abe5-d7d41edb2242,,,E11,,,PLACED,Z,1e Hogeweg,,,600785558.0,2024-03-01,Zeist,GM0355,Zeist,,2020-02-21,2023-12-03,,,5.2416121343458,52.085404920218,POINT (5.241612 52.085405),End of controlled parking zone
00366d56-f105-42c2-b9e5-cb2b5347cea7,,,E11,,,PLACED,O,Zweedselaan,,,211400129.0,2024-03-01,Beverwijk,GM0375,Beverwijk,,2016-11-23,2022-11-20,,,4.6644273818509,52.485740401661,POINT (4.664427 52.48574),End of controlled parking zone
003a0293-0522-487a-b1b1-d300731ac463,,,E11,,,PLACED,O,Molenberglaan,,,394042084.0,2024-03-01,Heerlen,GM0917,Heerlen,,2018-04-20,2022-02-23,,,5.9855035180237,50.880857971865,POINT (5.985504 50.880858),End of controlled parking zone
004433ee-65d4-4ff9-a31f-7ab7b6917b64,,,E11,,,PLACED,N,Philippusstraat,,,320195037.0,2024-03-01,Meierijstad,GM1948,Sint-Oedenrode,,2016-09-30,2022-05-13,,,5.4612755839829,51.567130678544,POINT (5.461276 51.567131),End of controlled parking zone
004ac9fb-5d37-4b7c-a5a7-43491799d67c,,,E11,,,PLACED,W,Verzetstraat,,,231394088.0,2024-03-01,Zaanstad,GM0479,Koog aan de Zaan,,2016-08-17,2022-09-24,,,4.8107744283833,52.463089762817,POINT (4.810774 52.46309),End of controlled parking zone
005ceda3-5b41-4807-ad6b-9d7b5b9b00df,,,E11,,,PLACED,O,Kloosterlaan,,,386277047.0,2024-03-01,Lingewaard,GM1705,Huissen,,2017-10-12,2022-10-03,,,5.9414785704702,51.935529127547,POINT (5.941479 51.935529),End of controlled parking zone
00678a6a-c6ec-4903-bfca-c7ba9bee8628,,,E11,,,PLACED,N,Jan Petersstraat,,,387214030.0,2024-03-01,Land van Cuijk,GM1982,Boxmeer,,2017-01-10,2022-11-16,,,5.9474791831802,51.649522173053,POINT (5.947479 51.649522),End of controlled parking zone
00722e78-7f8d-4ff6-bcc5-c48240a32974,,,E11,,,PLACED,W,van Cleeffkade,,,601061829.0,2024-03-01,Aalsmeer,GM0358,Aalsmeer,,2016-09-26,2022-11-12,,,4.750140244299,52.26748638452,POINT (4.75014 52.267486),End of controlled parking zone
008da5a9-3f67-451d-bc68-d8cd60870910,,,E11,,ZE,PLACED,W,Haarstraat,,,601056008.0,2024-03-01,Rijssen-Holten,GM1742,Rijssen,,2018-02-16,2024-02-19,,,6.5161382511423,52.30784194378,POINT (6.516138 52.307842),End of controlled parking zone
