id,externalId,validatedOn,rvvCode,blackCode,zoneCode,status,textSigns,side,roadName,roadType,roadNumber,roadSectionId,nwbVersion,countyName,countyCode,townName,bgtCode,imageUrl,firstSeenOn,lastSeenOn,placedOn,expectedPlacedOn,removedOn,trafficOrderUrl,longitude,latitude,geometry_wkt
0004691a-2526-406a-a25a-998225ed997b,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""Opladen elektrische auto's"" }, { ""type"": ""VRIJ"", ""text"": """" } ]",W,Witteweg,,,,,Mook En Middelaar,GM0944,Plasmolen,,https://wegkenmerken.ndw.nu/api/images/979966cf-2056-4102-aa80-fb86f2538604,2022-08-11,2022-08-11,,,,,5.9191842017655,51.737463327755,POINT (5.919184 51.737463)
00066b98-1f62-4c93-9de5-dce4a9ba2fb2,,,E8,,,PLACED,[ ],N,Ommerweg,2.0,347.0,453389012.0,2024-03-01,Hellendoorn,GM0163,Hellendoorn,,https://wegkenmerken.ndw.nu/api/images/e160747f-c6e1-4b04-9773-75d884ba395d,2018-03-05,2024-02-19,,,,,6.4403822565894,52.43213811894,POINT (6.440382 52.432138)
000b1ba9-d003-4cdf-a56f-e9b31bbbff97,,,E8,,,PLACED,[ ],OZO,Broekergouw,,,601022266.0,2025-09-01,Amsterdam,GM0363,Amsterdam,,https://wegkenmerken.ndw.nu/api/images/d6c576fb-4b50-40f7-afd8-bac9a441bc92,2019-06-13,2025-09-09,,,,,4.9913023107806,52.424486455581,POINT (4.991302 52.424486)
000b69f2-2f19-48e5-b070-34983765229e,,,E8,,,PLACED,[ ],Z,Zuidergors,,,140285004.0,2024-03-01,Rotterdam,GM0599,Hoek van Holland,,https://wegkenmerken.ndw.nu/api/images/dd7be1c7-8a4b-4c60-aa26-dca71ab3be2c,2016-08-24,2022-03-15,,,,,4.1571395305216,51.966174446358,POINT (4.15714 51.966174)
000c4c86-056d-4241-9b6a-61fb47c25a61,,,E8,,,PLACED,"[ { ""type"": ""RICH"", ""text"": """" } ]",OZO,Herman Robbersstraat,,,234375003.0,2025-09-01,Amsterdam,GM0363,Amsterdam,,,2025-09-09,2025-09-09,2025-09-09,,,,4.83032215029663,52.3747319244641,POINT (4.830322 52.374732)
000c76ed-a502-4b28-b489-5e90e1a54465,,,E8,,,PLACED,[ ],W,Gelind,,,,,Gemert-Bakel,GM1652,Gemert,,https://wegkenmerken.ndw.nu/api/images/8ebb8c3b-b065-4469-97df-be9312da3898,2022-04-06,2022-04-06,,,,,5.6829386877059,51.554984545121,POINT (5.682939 51.554985)
001128b7-5dfd-44de-9ec7-6bfe35a46e38,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": """" }, { ""type"": ""VRIJ"", ""text"": ""opladen elektrische voertuigen"" }, { ""type"": ""TIJD"", ""text"": ""10.00-22.00 h"" } ]",N,Doldersestraat,,,158306131.0,2024-03-01,'s-Gravenhage,GM0518,'s-Gravenhage,,https://wegkenmerken.ndw.nu/api/images/15de3596-8644-48da-a550-9275a813e455,2017-09-25,2023-12-05,,,,,4.2796260681168,52.063936615742,POINT (4.279626 52.063937)
00147f0c-5b6b-4cef-bc7a-614f421ea3d3,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": """" }, { ""type"": ""VRIJ"", ""text"": ""opladen elektrische voertuigen"" } ]",W,Bergweg,,,,,Zeist,GM0355,Zeist,,https://wegkenmerken.ndw.nu/api/images/1e18fd9f-88f3-42f8-9226-2e2ef31e2291,2020-02-21,2022-03-09,,,,,5.2410354290666,52.089435451101,POINT (5.241035 52.089435)
00175d79-6dd2-4ae4-b677-0e15c9071f94,,,E8,,,PLACED,[ ],N,Charles Vosstraat,,,378069012.0,2024-03-01,Sittard-Geleen,GM1883,Sittard,,https://wegkenmerken.ndw.nu/api/images/2ba8c787-6eaa-447f-80b6-f6e905e9ad77,2016-08-11,2022-09-20,,,,,5.8780698641913,50.999700064319,POINT (5.87807 50.9997)
001888f0-5a4c-4fb5-8b78-9cfdd8123d6b,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""op dinsdag en op vrijdag van 09.00 t\/m 16.00"" }, { ""type"": ""VRIJ"", ""text"": """" } ]",O,De Mirandalaan,,,,,Amsterdam,GM0363,Amsterdam,,https://wegkenmerken.ndw.nu/api/images/843fbb36-b9ae-4316-bd15-9a9d8d58fab2,2018-07-05,2022-05-20,,,,,4.9016480550649,52.338926073388,POINT (4.901648 52.338926)
001a458a-5ede-4b07-abfd-e52a5007179a,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": """" }, { ""type"": ""VRIJ"", ""text"": ""opladen elektrische voertuigen"" } ]",O,Ronde Bonk,,,225324066.0,2024-03-01,Nieuwkoop,GM0569,Nieuwkoop,,https://wegkenmerken.ndw.nu/api/images/72712004-70da-43ff-ace2-8883094f6910,2022-10-07,2024-02-19,,,,,4.7679598001029,52.145438857198,POINT (4.76796 52.145439)
001a7709-387b-41d0-ae10-17cd755af1a1,,,E8,,,PLACED,[ ],Z,Loweg,,,501350004.0,2024-03-01,Hengelo (O),GM0164,Hengelo,,https://wegkenmerken.ndw.nu/api/images/ec84d8b7-f9d5-4546-b783-2758b63d4410,2016-06-03,2022-05-03,,,,,6.7882958304558,52.255240684865,POINT (6.788296 52.255241)
001ba62b-74cf-4da5-a95d-9c864284f1ee,,,E8,,,PLACED,[ ],O,Lisidunalaan,,,315321001.0,2024-03-01,Leusden,GM0327,Leusden,,https://wegkenmerken.ndw.nu/api/images/6a0add8b-b329-4ef5-b06f-b4425a6c4efe,2020-06-22,2022-06-15,,,,,5.4261103430487,52.13416449715,POINT (5.42611 52.134164)
00217f0a-c20e-4a0b-9bfc-7e8adef2edd6,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": """" } ]",N,Buntgras,,,600978439.0,2024-03-01,Nissewaard,GM1930,Spijkenisse,,https://wegkenmerken.ndw.nu/api/images/c557e1a8-576a-4eec-a567-86a3a6cce426,2021-06-10,2024-02-19,,,,,4.3207266794274,51.827263501909,POINT (4.320727 51.827264)
0026e134-5b75-4f20-8582-c28c31d63c29,,,E8,,,PLACED,[ ],O,Edmond Jasparstraat,,,378070018.0,2024-03-01,Sittard-Geleen,GM1883,Sittard,,https://wegkenmerken.ndw.nu/api/images/5dd3a4d7-af5d-4e14-a828-23e9c51293f9,2016-08-11,2022-09-20,,,,,5.8770520325567,51.004197033486,POINT (5.877052 51.004197)
00295a6b-bbda-48c8-bc7c-c480406705e0,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": """" } ]",N,Spoorstraat,,,,,Rheden,GM0275,Dieren,,https://wegkenmerken.ndw.nu/api/images/4c8a07fe-b4ba-48d1-aee9-31d80c06301f,2020-03-31,2022-04-14,,,,,6.1058212252507,52.045171910456,POINT (6.105821 52.045172)
00297f19-26b8-4676-866b-63cd690ce040,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": """" } ]",Z,Molenwal,,,239296130.0,2024-03-01,Oudewater,GM0589,Oudewater,,https://wegkenmerken.ndw.nu/api/images/3b2a713f-1bba-442b-ada5-66377e954834,2016-07-20,2022-09-13,,,,,4.8718441978561,52.01953692334,POINT (4.871844 52.019537)
002d3ace-4d4b-4ca4-ad63-88a0ce40a72a,,,E8,,,PLACED,[ ],O,Dingemans van de Kasteeleplein,,,142293082.0,2024-03-01,Westland,GM1783,'s-Gravenzande,,https://wegkenmerken.ndw.nu/api/images/d7cce28d-893e-4b51-9525-1114947b6c3b,2015-12-09,2022-02-02,,,,,4.1682631125866,52.003175350902,POINT (4.168263 52.003175)
002fb74f-5519-4fc2-a387-dbe7340a1009,,,E8,,,PLACED,[ ],N,Langbroekerdijk A,,,301294019.0,2024-03-01,Wijk bij Duurstede,GM0352,Langbroek,,https://wegkenmerken.ndw.nu/api/images/505484d8-9fc5-40bc-8778-3180e1039ee8,2021-07-20,2022-07-15,,,,,5.3248486022012,52.011496400465,POINT (5.324849 52.011496)
00419fd2-e0f4-45f3-a41b-3a52d354f7e8,,,E8,,,PLACED,"[ { ""type"": ""RICH"", ""text"": """" }, { ""type"": ""VRIJ"", ""text"": """" } ]",OZO,Singel,,,600382572.0,2025-09-01,Amsterdam,GM0363,Amsterdam,,,2025-09-09,2025-09-09,2025-09-09,,,,4.88841324908007,52.3727760577765,POINT (4.888413 52.372776)
00441608-0202-43c7-92bb-a405c968876f,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": """" }, { ""type"": ""VRIJ"", ""text"": ""opladen elektrische voertuigen"" } ]",Z,Kroostweg,,,,,Zeist,GM0355,Zeist,,https://wegkenmerken.ndw.nu/api/images/4c742ee4-b9ef-4cdc-9e53-8975dd773227,2018-02-21,2022-03-11,,,,,5.2278070879701,52.087450323608,POINT (5.227807 52.08745)
0049523f-61a0-4f9f-8b78-df2a5a4e3d27,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": """" }, { ""type"": ""VRIJ"", ""text"": ""Opladen elektrische voertuigen"" } ]",Z,Anna Paulownastraat,,,160311016.0,2024-03-01,'s-Gravenhage,GM0518,'s-Gravenhage,,https://wegkenmerken.ndw.nu/api/images/af39c599-6bfa-418b-ab71-c1856582aba9,2021-12-07,2022-10-25,,,,,4.2997801763093,52.084425916935,POINT (4.29978 52.084426)
0049eadb-6fd4-460c-a744-92f6f0996e07,,,E8,,,PLACED,[ ],O,Averbergen,,,409367048.0,2024-03-01,Olst-Wijhe,GM1773,Olst,,https://wegkenmerken.ndw.nu/api/images/96244c09-0fa9-4c8f-8df5-7999dec8b396,2021-08-02,2024-02-19,,,,,6.1160889840415,52.337988277167,POINT (6.116089 52.337988)
004e615d-62fb-49df-8d29-3611e3344f79,,,E8,,,PLACED,[ ],N,Zoetendaal,,,366213001.0,2024-03-01,Land van Cuijk,GM1982,Wanroij,,https://wegkenmerken.ndw.nu/api/images/a42098b2-3da3-4120-87b3-3bc9ffd6f96e,2021-06-28,2022-12-05,,,,,5.7972825273432,51.647341655337,POINT (5.797283 51.647342)
00502f22-db2c-4a48-a464-382429e32add,,,E8,,,PLACED,[ ],O,Eindhovenseweg,,,417151057.0,2024-03-01,Venlo,GM0983,Venlo,,https://wegkenmerken.ndw.nu/api/images/0c59490a-9411-44c5-b90f-ab376f9bdfde,2018-01-25,2024-02-19,,,,,6.1623733627276,51.368303328236,POINT (6.162373 51.368303)
0051228d-7532-4c09-93db-489d2205707a,,,E8,,,PLACED,[ ],W,Parklaan,,,600766306.0,2024-03-01,Montfoort,GM0335,Montfoort,,https://wegkenmerken.ndw.nu/api/images/b7eed546-e385-437f-b1ec-984109bb1e43,2016-08-23,2022-11-10,,,,,4.9538636446681,52.042366279849,POINT (4.953864 52.042366)
005207eb-607f-4cfa-ab4d-340ac321f9e5,,,E8,,,PLACED,[ ],O,Sluisweg,,,,,Hardinxveld-Giessendam,GM0523,Hardinxveld-Giessendam,,https://wegkenmerken.ndw.nu/api/images/5c6e4fe4-41f3-46af-bc2b-7f22172d74c5,2018-08-31,2022-09-08,,,,,4.8561710154005,51.827735705713,POINT (4.856171 51.827736)
005286e8-326c-4fd5-993b-a0cba209c2ca,,,E8,,,PLACED,"[ { ""type"": ""TIJD"", ""text"": ""ma t\/m vr 7.00-17.00 h"" } ]",O,Nijverheidsstraat,,,214294032.0,2024-03-01,Gouda,GM0513,Gouda,,https://wegkenmerken.ndw.nu/api/images/be993f91-caae-4e88-ac92-a5b866ea48e2,2018-05-16,2023-12-03,,,,,4.6950033071413,52.012650555701,POINT (4.695003 52.012651)
005406a8-274a-4ab5-a550-70eb166295a0,,,E8,,,PLACED,[ ],W,Stationsweg,,,,,Castricum,GM0383,Castricum,,https://wegkenmerken.ndw.nu/api/images/0045ec48-ed12-49bb-863a-46a98513e717,2020-04-18,2022-06-15,,,,,4.6590029629949,52.545946824117,POINT (4.659003 52.545947)
005a127d-1d23-459f-b7ac-6d1959d2f463,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""uitsluitend voor bewoners en bezoekers"" } ]",Z,Houtstraat,,,,,Echt-Susteren,GM1711,Echt,,https://wegkenmerken.ndw.nu/api/images/24954b99-3bfd-4869-9807-066804aca279,2016-06-23,2022-06-17,,,,,5.8893972240901,51.097572544287,POINT (5.889397 51.097573)
005a2f0e-17cb-4f9b-89d5-a96b7d7882d2,,,E8,,,PLACED,[ ],Z,Fietspad,,,,,Eemsdelta,GM1979,Middelstum,,https://wegkenmerken.ndw.nu/api/images/b957c63c-22dd-42f8-876e-854afbd4b27a,2017-08-23,2022-08-12,,,,,6.6481249047139,53.350931748602,POINT (6.648125 53.350932)
0061ea4a-0ce1-4af5-ba8d-2a76471dddfc,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""Onleesbaar"" }, { ""type"": ""RICH"", ""text"": """" } ]",NW,Diemerparklaan,,,256370026.0,2025-09-01,Amsterdam,GM0363,Amsterdam,,,2025-09-09,2025-09-09,2025-09-09,,,,4.99771845197133,52.3570802625157,POINT (4.997718 52.35708)
0062a00b-85e0-476e-98c7-f66d020091f9,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""Pashouders Prinsenhof"" } ]",Z,Kloosterstraat,,,600191384.0,2024-03-01,Roosendaal,GM1674,Roosendaal,,https://wegkenmerken.ndw.nu/api/images/e221b4f3-322e-4e1c-9b4c-855c540b2b37,2022-03-04,2022-03-04,,,,,4.4599979507412,51.535805673556,POINT (4.459998 51.535806)
00641f78-b647-41b6-bbe5-0daf44ac6a29,,,E8,,,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""alleen in de vakken"" } ]",WZW,Van Woustraat,,,243370001.0,2025-09-01,Amsterdam,GM0363,Amsterdam,,,2025-09-09,2025-09-09,2025-09-09,,,,4.90043768086048,52.3556835616,POINT (4.900438 52.355684)
