id,externalId,validatedOn,rvvCode,blackCode,zoneCode,status,side,roadName,roadType,roadNumber,roadSectionId,nwbVersion,countyName,countyCode,townName,bgtCode,firstSeenOn,lastSeenOn,placedOn,removedOn,longitude,latitude,geometry_wkt,sign_meaning
0000ea7d-b29c-40a8-acb0-b73f6ceee022,,,J24,,,PLACED,W,Diepenbrockstraat,,109.0,241368027.0,2025-09-01,Amsterdam,GM0363,Amsterdam,,2025-09-09,2025-09-09,2025-09-09,,4.88480402411268,52.3445762716595,POINT (4.884804 52.344576),Children crossing
00026246-9d61-4fee-b945-53b4bd0fca6a,,,J24,,,PLACED,O,Zwarte Ring,,,600751547.0,2024-03-01,Zaanstad,GM0479,Assendelft,,2016-08-08,2024-02-19,,,4.7535088234192,52.491936030068,POINT (4.753509 52.491936),Children crossing
00043521-865e-4c78-b06a-4acf29c26f19,,,J24,,,PLACED,O,Rijksweg,2.0,203.0,600748371.0,2024-03-01,Castricum,GM0383,Limmen,,2016-06-06,2022-06-15,,,4.6952946056091,52.575949525256,POINT (4.695295 52.57595),Children crossing
0008c59c-866d-43ea-a235-9eed2a3d633b,,,J24,,,PLACED,O,Mijlweg,,,600741198.0,2024-03-01,Dordrecht,GM0505,Dordrecht,,2016-02-19,2022-04-05,,,4.6466492137718,51.784997489554,POINT (4.646649 51.784997),Children crossing
001d043f-5d49-44dc-966c-560f53f8d758,,,J24,,,PLACED,Z,Vlietsingel,,,600903786.0,2024-03-01,Medemblik,GM0420,Medemblik,,2016-04-20,2022-04-14,,,5.1102186725915,52.766846494142,POINT (5.110219 52.766846),Children crossing
001d1b52-f65b-480c-803d-e8b0cd80d1a6,,,J24,,,PLACED,O,Stiemensweg,,,600920055.0,2024-03-01,Gennep,GM0907,Gennep,,2016-08-29,2022-08-10,,,6.0036924537162,51.684708375751,POINT (6.003692 51.684708),Children crossing
001dddbd-96af-44f5-aff7-7c7b44e9d833,,,J24,,,PLACED,N,Buitenwoellaan,,,600883525.0,2024-03-01,Veendam,GM0047,Veendam,,2016-11-25,2022-11-07,,,6.8711789537479,53.11512866831,POINT (6.871179 53.115129),Children crossing
0023df26-6108-4ddd-b358-fdb44d3b1766,,,J24,,,PLACED,ZZW,Majanggracht,,,600363497.0,2025-09-01,Amsterdam,GM0363,Amsterdam,,2016-09-20,2025-09-09,,,4.9300432446791,52.378739369124,POINT (4.930043 52.378739),Children crossing
002b0f19-621c-4245-bd99-1dad914f34cd,,,J24,,,PLACED,W,Hoofdweg,2.0,377.0,481438006.0,2024-03-01,Hardenberg,GM0160,De Krim,,2016-09-15,2022-08-31,,,6.6575082185236,52.654220042163,POINT (6.657508 52.65422),Children crossing
002ceec6-65ac-42e0-84d6-47c20c849025,,,J24,,,PLACED,N,Hoofseweg,,,601217147.0,2024-05-01,Oosterhout,GM0826,Oosterhout,,2016-10-14,2022-09-21,,,4.8618607671572,51.654364747857,POINT (4.861861 51.654365),Children crossing
0034f16d-9528-4c6f-8602-07dddbcd64fc,,,J24,,,PLACED,N,Lavendelweg,,,600731136.0,2024-03-01,Teylingen,GM1525,Voorhout,,2016-02-25,2022-06-22,,,4.4953287070406,52.222674942232,POINT (4.495329 52.222675),Children crossing
00354959-6759-4082-9f47-21d8ca287b22,,,J24,,,PLACED,N,Ruimtebaan,,,600390260.0,2024-03-01,Zoetermeer,GM0637,Zoetermeer,,2016-07-15,2022-08-02,,,4.5240855015484,52.066894762632,POINT (4.524086 52.066895),Children crossing
00362279-0b9a-4ddf-9887-8af0a109e9ee,,,J24,,,PLACED,Z,Domineesweg,2.0,352.0,345436007.0,2024-03-01,Noordoostpolder,GM0171,Tollebeek,,2016-02-15,2022-03-06,,,5.6719791022173,52.648047398401,POINT (5.671979 52.648047),Children crossing
00371843-36db-4377-97da-6ec88792478e,,,J24,,,PLACED,N,Prof. Van Krevelenstraat,,,600828849.0,2024-03-01,Sittard-Geleen,GM1883,Geleen,,2016-08-18,2022-09-12,,,5.8045592097592,50.982839332791,POINT (5.804559 50.982839),Children crossing
00384d6c-5b0c-432c-9f23-f8231f24938c,,,J24,,,PLACED,W,Liesbosweg,,,600741095.0,2024-03-01,Etten-Leur,GM0777,Etten-Leur,,2016-11-16,2022-09-02,,,4.6459625651721,51.577305378713,POINT (4.645963 51.577305),Children crossing
003d41a9-efe5-45a6-bbea-6c10a86763d9,,,J24,,,PLACED,O,Ringbaan Noord,,,600819265.0,2024-03-01,Weert,GM0988,Weert,,2016-08-25,2022-07-13,,,5.6946924261602,51.25922462715,POINT (5.694692 51.259225),Children crossing
00413944-b880-4569-a1c6-f6c8d77a4d8e,,,J24,,,PLACED,O,Veerweg,,,600771617.0,2024-03-01,Waalwijk,GM0867,Waalwijk,,2016-04-20,2022-05-25,,,5.0519650826534,51.703953443829,POINT (5.051965 51.703953),Children crossing
0047c4f4-5c8a-4fef-b098-6b92987ee293,,,J24,,,PLACED,Z,Burgemeester van Casterenstraat,,,601192062.0,2024-03-01,Waalwijk,GM0867,Waalwijk,,2016-04-13,2022-06-07,,,5.0339202884471,51.677351121062,POINT (5.03392 51.677351),Children crossing
0047db16-004e-4e28-82b8-e64dad5b0091,,,J24,,,PLACED,Z,Hoofdweg,,,600746013.0,2024-03-01,Haarlemmermeer,GM0394,Hoofddorp,,2016-07-19,2022-07-29,,,4.6742338261745,52.292973599619,POINT (4.674234 52.292974),Children crossing
004aaaf5-54fe-4a03-8fc4-e7e4f8414c63,,,J24,,,PLACED,W,Star Numanwei,,,600806432.0,2024-03-01,De Fryske Marren,GM1940,Oudemirdum,,2016-07-14,2022-06-23,,,5.5364129597561,52.847627907248,POINT (5.536413 52.847628),Children crossing
004b3e49-26b8-4897-87ca-33e651faa934,,,J24,,,PLACED,N,Hoofdweg,,,424501005.0,2024-03-01,Ooststellingwerf,GM0085,Elsloo,,2016-02-10,2022-02-25,,,6.2394901002301,52.937873827031,POINT (6.23949 52.937874),Children crossing
0058279f-7f52-4633-bd06-b02b9f24d6a3,,2025-02-19,J24,,,PLACED,ZW,Leisteen,,,600749758.0,2025-02-01,Haarlemmermeer,GM0394,Hoofddorp,,2025-02-19,2025-02-19,2025-02-19,,4.72277367296158,52.28964048925312,POINT (4.722774 52.28964),Children crossing
005975ac-5315-4f89-9e7b-6a52d04c7d9a,,,J24,,,PLACED,N,Dr. Saal van Zwanenbergsingel,,,600895751.0,2024-03-01,Oss,GM0828,Oss,,2017-09-01,2022-08-16,,,5.5276600986195,51.753308262658,POINT (5.52766 51.753308),Children crossing
005d64a5-e688-429e-aa30-350944af8e35,,,J24,,,PLACED,O,de Voscuyl,,,600727450.0,2024-03-01,Oegstgeest,GM0579,Oegstgeest,,2016-02-02,2022-02-22,,,4.4658097062595,52.183551244609,POINT (4.46581 52.183551),Children crossing
005eef97-7906-40d8-afe1-cf3fa6fe90c0,,,J24,,,PLACED,Z,Espelerlaan,,,601023897.0,2024-03-01,Noordoostpolder,GM0171,Emmeloord,,2016-02-15,2022-02-28,,,5.7458366649322,52.718366584893,POINT (5.745837 52.718367),Children crossing
005f9cf7-b9f3-482c-a7f5-ae9b0a03a81b,,,J24,,,PLACED,W,Voorweg,,,147254003.0,2024-03-01,Voorne aan Zee,GM1992,Oudenhoorn,,2016-05-04,2022-10-03,,,4.2076797354503,51.827960331012,POINT (4.20768 51.82796),Children crossing
0061663d-98ec-4015-935a-aaec224845dc,,,J24,,,PLACED,W,Zandoerleseweg,,,304158007.0,2024-03-01,Eersel,GM0770,Knegsel,,2020-11-10,2022-10-18,,,5.3495105441695,51.401413465054,POINT (5.349511 51.401413),Children crossing
006747fd-121f-417e-a7fe-033192b252ca,,,J24,,,PLACED,O,Landdrostlaan,,,600845286.0,2024-03-01,Apeldoorn,GM0200,Apeldoorn,,2016-11-22,2022-11-23,,,6.0006230079225,52.184015392708,POINT (6.000623 52.184015),Children crossing
00678694-557b-412d-9b48-fcbbdcdfc049,,,J24,,,PLACED,N,Wervenkampweg,,,227260001.0,2024-03-01,Molenlanden,GM1978,Bleskensgraaf ca,,2020-09-02,2022-09-23,,,4.7893535881472,51.861270372643,POINT (4.789354 51.86127),Children crossing
00682ff6-c395-4cc0-b1e0-1d6b2928bb02,,,J24,,,PLACED,O,Mooieweg,,,600836272.0,2024-03-01,Arnhem,GM0202,Arnhem,,2016-04-08,2022-03-15,,,5.9024853798549,51.94351405338,POINT (5.902485 51.943514),Children crossing
006e4c31-2a25-4dc8-aa29-59bfc4b1e722,,,J24,,,PLACED,Z,De Dors,,,600932119.0,2024-03-01,Heiloo,GM0399,Heiloo,,2018-03-29,2022-04-09,,,4.7020627629273,52.610057085821,POINT (4.702063 52.610057),Children crossing
006fdf52-76c6-4a50-aa61-623348888683,,,J24,,,PLACED,W,Dorpsstraat,,,600772485.0,2024-03-01,Hoorn,GM0405,Zwaag,,2017-01-04,2022-02-15,,,5.0527876242217,52.662062758962,POINT (5.052788 52.662063),Children crossing
006ff09f-54e2-4512-90fe-706671eebaf0,,,J24,,,PLACED,W,Ekkersrijt,,,,,Son En Breugel,GM0848,Son En Breugel,,2021-07-09,2022-07-05,,,5.4673847868008,51.498379266016,POINT (5.467385 51.498379),Children crossing
0072c031-b5f1-4977-84ed-15fc9e003b82,,,J24,,,PLACED,O,Dalemdreef,,,600767254.0,2024-03-01,Tilburg,GM0855,Tilburg,,2022-06-14,2022-06-14,,,4.9769391370608,51.576450829655,POINT (4.976939 51.576451),Children crossing
007d2e7f-8902-4adb-a1a6-69e264c86cc7,,,J24,,,PLACED,W,Eikenlaan,,,342358041.0,2024-03-01,Ermelo,GM0233,Ermelo,,2018-08-10,2022-08-04,,,5.6281384875119,52.301644880413,POINT (5.628138 52.301645),Children crossing
007e2fb9-b047-4093-843a-5695974b71ee,,,J24,,,PLACED,Z,Aimé Bonnastraat,,,601320527.0,2025-04-01,Vijfheerenlanden,GM1961,Vianen,,2021-07-08,2022-07-11,,,5.0960894880623,51.992188429653,POINT (5.096089 51.992188),Children crossing
008590d2-9d52-462a-92ac-f5369f76b46b,,,J24,,,PLACED,Z,Barajasweg,,,600165364.0,2025-09-01,Amsterdam,GM0363,Amsterdam,,2025-09-09,2025-09-09,2025-09-09,,4.8337727299345,52.3862292431964,POINT (4.833773 52.386229),Children crossing
008d2946-51fd-4166-b020-331f0a9ec3c5,,,J24,,,PLACED,N,Het Dagwerk,,,351406053.0,2024-03-01,Dronten,GM0303,Dronten,,2016-02-29,2022-02-24,,,5.6928231580307,52.517741422546,POINT (5.692823 52.517741),Children crossing
008ef7b6-7100-4731-be3e-2286d9e04828,,,J24,,,PLACED,Z,Lindsterlaan,,,600271220.0,2024-03-01,Westerkwartier,GM1969,De Wilp,,2016-04-13,2022-03-15,,,6.2752365421238,53.126515829564,POINT (6.275237 53.126516),Children crossing
008f5117-157e-41b8-b9ea-7ac8bf373820,,,J24,,,PLACED,W,Apeldoornsestraat,,,349336005.0,2024-03-01,Barneveld,GM0203,Garderen,,2016-07-18,2022-08-11,,,5.6754577732444,52.204409242941,POINT (5.675458 52.204409),Children crossing
00925c95-4955-41fd-b159-d94f9d896e27,,,J24,,,PLACED,Z,Het Malevoort,,,214425019.0,2024-03-01,Heiloo,GM0399,Heiloo,,2016-04-04,2024-02-19,,,4.682195634587,52.597527472739,POINT (4.682196 52.597527),Children crossing
009d745b-a02d-474a-8370-c9007fa24653,,,J24,,,PLACED,Z,Frederiksoord,,,417480002.0,2024-03-01,Westerveld,GM1701,Frederiksoord,,2022-05-25,2022-05-30,,,6.188648391065,52.845579267697,POINT (6.188648 52.845579),Children crossing
009dc2fc-4990-4b04-8e50-8e302a8ffd1e,,,J24,,,PLACED,N,Wilgehaantje,,,600858109.0,2024-03-01,Deventer,GM0150,Deventer,,2016-08-23,2022-06-20,,,6.2020341189456,52.254769552102,POINT (6.202034 52.25477),Children crossing
009df531-9b99-4e00-a6c6-a8e3a3dc3863,,,J24,,,PLACED,N,Bredeweg,,,601246116.0,2024-08-01,Schouwen-Duiveland,GM1676,Sirjansland,,2016-09-05,2022-09-29,,,4.0360181756663,51.674460666944,POINT (4.036018 51.674461),Children crossing
009e74b9-2482-4ab2-a898-86a73589e541,,,J24,,,PLACED,O,Noordeinde,,,601184846.0,2024-03-01,Zevenaar,GM0299,Zevenaar,,2016-09-26,2022-03-15,,,6.0767429229638,51.9340411736,POINT (6.076743 51.934041),Children crossing
00a02e22-2340-4573-a2c0-069c2b64e3d6,,,J24,,,PLACED,O,Markiezenhof,,,200281121.0,2024-03-01,Capelle aan den IJssel,GM0502,Capelle aan den IJssel,,2022-02-09,2022-02-09,,,4.5930670523233,51.952386380521,POINT (4.593067 51.952386),Children crossing
00a62dde-7330-4fc8-9d73-08e9cc8e0541,,,J24,,,PLACED,O,Koenraad van Zwabenstraat,,,600734073.0,2024-03-01,Rotterdam,GM0599,Rotterdam,,2016-07-25,2022-03-16,,,4.5454485713229,51.8985281916,POINT (4.545449 51.898528),Children crossing
00ad046f-cabf-4328-938c-a009bf94b67f,,,J24,,,PLACED,W,Zuiderzeestraatweg,2.0,308.0,600949112.0,2024-03-01,Oldebroek,GM0269,Oldebroek,,2016-03-21,2022-04-15,,,5.9363544698447,52.459052961665,POINT (5.936354 52.459053),Children crossing
00af5060-a806-45f1-b38c-71fbc328fc8e,,,J24,,,PLACED,W,Fietspad,,,,,Mook En Middelaar,GM0944,Mook,,2020-07-24,2022-08-12,,,5.8761728454327,51.757702766783,POINT (5.876173 51.757703),Children crossing
00b857cf-272d-49e7-822a-6325d4ed2414,,,J24,,,PLACED,W,Parallelweg,,,221472008.0,2024-03-01,Schagen,GM0441,Schagerbrug,,2017-08-16,2022-06-26,,,4.7087595475497,52.789385013585,POINT (4.70876 52.789385),Children crossing
00ba28cb-e5f7-4cc5-adf9-d9e410e6ada1,,,J24,,,PLACED,O,Pettendijk,,,600454817.0,2024-03-01,Westland,GM1783,Maasdijk,,2015-12-08,2022-01-17,,,4.202628431073,51.969748187387,POINT (4.202628 51.969748),Children crossing
00bc6dd7-5095-4e92-a056-012c95ec689b,,,J24,,,PLACED,Z,Heistraat,,,197195003.0,2024-03-01,Halderberge,GM1655,Hoeven,,2016-04-28,2022-06-21,,,4.5809738290075,51.565748211683,POINT (4.580974 51.565748),Children crossing
