id,externalId,validatedOn,rvvCode,status,textSigns,side,roadName,roadType,roadNumber,roadSectionId,nwbVersion,countyName,countyCode,townName,imageUrl,firstSeenOn,lastSeenOn,placedOn,expectedRemovedOn,removedOn,longitude,latitude,geometry_wkt
0000d382-9f7b-4250-bf31-5855d20db5f2,,,J37,PLACED,[ ],N,Sluisweg,,,535522012.0,2024-03-01,Stadskanaal,GM0037,Onstwedde,https://wegkenmerken.ndw.nu/api/images/4b4aa8d5-7ab3-49cf-ac20-126497e43b4a,2016-11-08,2024-02-19,,,,7.0692865081808,53.026060051299,POINT (7.069287 53.02606)
000919d3-bf26-41b3-b621-927f391b9741,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""in-en uitrit werkverkeer"" } ]",Z,Achterweg,2.0,231.0,226337002.0,2024-03-01,Nieuwkoop,GM0569,Nieuwveen,https://wegkenmerken.ndw.nu/api/images/e48c4f13-ae0f-4e94-95e4-2d04f8cd2a21,2022-10-06,2022-10-06,,,,4.7810457132706,52.205549727408,POINT (4.781046 52.20555)
000a258b-b897-45fa-bb65-9c333663779e,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""wildrooster"" } ]",W,De Dellenweg,,,600172782.0,2024-03-01,Meerssen,GM0938,Meerssen,https://wegkenmerken.ndw.nu/api/images/43d452e0-a299-46fb-ab41-877e8526937e,2021-03-28,2022-03-19,,,,5.754851677258,50.875572632681,POINT (5.754852 50.875573)
000dd3e9-01f4-4f3d-8069-5d465f2d0456,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""obstakel"" } ]",W,Galgerwaard,,,,,Stichtse Vecht,GM1904,Breukelen,https://wegkenmerken.ndw.nu/api/images/cd6922db-9dcb-4c7e-9d82-af91a49b7471,2016-09-26,2022-04-28,,,,4.9731056701949,52.165163505856,POINT (4.973106 52.165164)
000f14e3-d2e7-4a5a-b01a-b101cd0768b2,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""inrit bouwverkeer"" } ]",O,Deventerweg,,,600427255.0,2024-03-01,Deventer,GM0150,Bathmen,https://wegkenmerken.ndw.nu/api/images/1fe721ff-9db0-43bd-bc7b-e93ab8313429,2021-06-15,2022-06-19,,,,6.2703743411595,52.249812234552,POINT (6.270374 52.249812)
000f2fae-00af-4923-a8d7-90ab8789868a,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""UITRIT"" } ]",Z,Koninginneweg,,,281342148.0,2024-03-01,Hilversum,GM0402,Hilversum,https://wegkenmerken.ndw.nu/api/images/3f29a306-4c53-4948-9096-fd6b53358453,2016-11-21,2022-01-25,,,,5.1795830810459,52.227564535778,POINT (5.179583 52.227565)
00117d25-3d17-48a5-9613-3c8ab2e4d541,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""drempels"" } ]",N,Julianalaan,,,341360012.0,2024-03-01,Ermelo,GM0233,Ermelo,https://wegkenmerken.ndw.nu/api/images/2b154efa-e4e4-44e0-95cb-8ee447026333,2016-08-19,2022-08-03,,,,5.6218857809566,52.307780463914,POINT (5.621886 52.30778)
00122c9d-f075-4e71-8818-5846a34c8878,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""uitrit Brandweer"" } ]",W,Europaweg,,,600874214.0,2024-03-01,Hardenberg,GM0160,Hardenberg,https://wegkenmerken.ndw.nu/api/images/a04b5d02-1def-4de0-b35d-271c759d5467,2016-09-20,2022-09-08,,,,6.6095321433486,52.572202294008,POINT (6.609532 52.572202)
00138261-2757-4eda-ad7a-ddc7106f5b8d,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""let op! fietsers op rijbaan"" } ]",W,Bredeweg,,,199300005.0,2024-03-01,Zuidplas,GM1892,Moerkapelle,https://wegkenmerken.ndw.nu/api/images/0d5895e7-18bb-4f62-898b-b634077e2152,2016-07-07,2022-08-11,,,,4.583448634076,52.039702144035,POINT (4.583449 52.039702)
001504dd-e2ff-43bd-b5c2-5bf468602606,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""rechts heeft voorrang 2x"" } ]",N,Stationsweg,,,388098010.0,2024-03-01,Roerdalen,GM1669,Montfort,https://wegkenmerken.ndw.nu/api/images/c5e4b9ec-cfe4-42d1-b02c-8d345ffdc6b9,2020-03-13,2022-03-03,,,,5.9448967076483,51.129924595387,POINT (5.944897 51.129925)
00189bbd-e1ab-4797-8c9d-dfc7b0e5f6ba,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""plateau"" } ]",W,Uitgeesterweg,,,215417041.0,2024-03-01,Castricum,GM0383,Limmen,https://wegkenmerken.ndw.nu/api/images/cde18f4d-abdc-4e3c-ac24-5ad960f7488b,2016-05-26,2022-06-14,,,,4.6908765239741,52.562076561155,POINT (4.690877 52.562077)
0018f29b-2099-4d25-9b40-1bb63a07246a,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""gevaartijke dijkovergang"" } ]",ZO,Kerkstraat,,,399202006.0,2025-08-01,Bergen (L),GM0893,Bergen L,https://wegkenmerken.ndw.nu/api/images/d46771fe-5a2f-4ef3-9e98-e27abddd165e,2020-09-07,2025-08-18,,,,6.0366956379942,51.599441193316,POINT (6.036696 51.599441)
001a4dd4-a699-47d8-b365-3b168bad2247,,,J37,PLACED,[ ],O,Dr. Kortmannstraat,2.0,206.0,601356548.0,2025-08-01,Zoeterwoude,GM0638,Zoeterwoude,https://wegkenmerken.ndw.nu/api/images/ba197fd7-97a9-43bd-8152-3cf1d9ddb19a,2016-04-18,2022-06-14,,,,4.489206684996,52.106412413492,POINT (4.489207 52.106412)
001f57d3-8842-4cd3-a973-5b0d1aa344e9,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""DREMPELS"" } ]",Z,Maasdijk,,,600238414.0,2024-03-01,Maasdriel,GM0263,Heerewaarden,https://wegkenmerken.ndw.nu/api/images/173d36b6-123f-45db-88fd-352aa0891638,2019-12-18,2022-01-11,,,,5.3930725945709,51.815767804181,POINT (5.393073 51.815768)
00212575-6a19-430a-bf75-bc4c6325579e,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""overstekende eenden"" } ]",W,Burgemeester van Rappardlaan,,,600373232.0,2024-03-01,Heemstede,GM0397,Heemstede,https://wegkenmerken.ndw.nu/api/images/2f35fc50-6a40-41b1-886e-605c7463ffa4,2016-10-03,2022-10-08,,,,4.6170463549894,52.341837778088,POINT (4.617046 52.341838)
0028b421-9e2e-43d6-a4b5-11151ceaa528,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""drempels"" } ]",O,Strijperstraat,,,331143008.0,2024-03-01,Heeze-Leende,GM1658,Leende,https://wegkenmerken.ndw.nu/api/images/cfdeccc4-7f0d-40f2-8c64-6f6de998378c,2016-03-21,2022-03-22,,,,5.5431174922354,51.333659218094,POINT (5.543117 51.333659)
002c5ab3-4df0-4150-8f42-ec29c04e9d4f,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""slagbomen dalen automatisch"" } ]",W,Doklaan,,,600111747.0,2024-03-01,Rotterdam,GM0599,Rotterdam,https://wegkenmerken.ndw.nu/api/images/6bf585e8-c0c4-43ba-a135-b3ae8ec3f999,2020-03-20,2022-03-09,,,,4.4717546074185,51.894265256782,POINT (4.471755 51.894265)
00320923-967d-4ae8-ab03-fdffac82bcf1,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": """" } ]",Z,Dorpstraat,,,373053004.0,2024-03-01,Beek,GM0888,Spaubeek,https://wegkenmerken.ndw.nu/api/images/c0021bd2-ad95-40e6-b49b-a08090ba5f5e,2016-09-06,2024-02-19,,,,5.8400431714011,50.930579291047,POINT (5.840043 50.930579)
0034c638-9fe0-49f4-90fb-8e6fb8de6164,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""SLECHT WEGDEK"" } ]",N,Varenschut,,,601174622.0,2024-03-01,Helmond,GM0794,Helmond,https://wegkenmerken.ndw.nu/api/images/6d303d42-9532-48b0-9779-023edd6ba844,2020-01-15,2022-01-11,,,,5.689035149315,51.453095045047,POINT (5.689035 51.453095)
003cba2d-267b-45de-9bce-e907d9813d3f,,,J37,PLACED,"[ { ""type"": ""VRIJ"", ""text"": """" } ]",Z,Edeseweg,,,352311001.0,2024-03-01,Ede,GM0228,Wekerom,https://wegkenmerken.ndw.nu/api/images/2950689c-2ca4-4537-8d07-1234252eeece,2016-06-06,2022-06-22,,,,5.699694031131,52.092824985135,POINT (5.699694 52.092825)
0044dce7-06c2-45d6-b375-73a2eba7bc26,,,J37,PLACED,[ ],N,Kerkeplaat,,,600748098.0,2024-03-01,Dordrecht,GM0505,Dordrecht,https://wegkenmerken.ndw.nu/api/images/94313c49-b34d-4eb5-8630-9879798e2804,2016-02-29,2022-04-19,,,,4.7097245851356,51.817642385194,POINT (4.709725 51.817642)
