id,externalId,validatedOn,rvvCode,status,textSigns,side,roadName,roadType,roadNumber,roadSectionId,nwbVersion,countyName,countyCode,townName,bgtCode,imageUrl,firstSeenOn,lastSeenOn,expectedRemovedOn,placedOn,removedOn,longitude,latitude,geometry_wkt
00023858-5015-40e0-9648-4219390b4793,,,J38,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""4x"" } ]",W,Bachlaan,,,600752043.0,2024-03-01,Aalsmeer,GM0358,Aalsmeer,,https://wegkenmerken.ndw.nu/api/images/5a48a8ea-d961-4539-aee2-a7aac7b6a7e0,2021-12-08,2022-11-14,,,,4.7681548388301,52.249735912668,POINT (4.768155 52.249736)
00023d6c-896c-414e-8a14-9fdd37f83914,,,J38,PLACED,[ ],O,Munnikenweg,,,600729297.0,2024-03-01,Lansingerland,GM1621,Berkel en Rodenrijs,,https://wegkenmerken.ndw.nu/api/images/e7aa3d82-0bb5-4693-8641-118053aaa4dd,2016-08-26,2022-09-23,,,,4.4992308768282,52.031049433234,POINT (4.499231 52.031049)
00047aa8-7b07-4eb2-873e-bac8886fa367,,,J38,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""drempels"" } ]",N,Zuid-Hollandweg,,,268267126.0,2024-03-01,Vijfheerenlanden,GM1961,Leerdam,,https://wegkenmerken.ndw.nu/api/images/76325214-12ba-4e2c-acd0-3ff5f031a4cd,2016-05-11,2022-07-22,,,,5.0900987689393,51.889417565683,POINT (5.090099 51.889418)
000dd1be-25b7-4cb1-b2fe-c90d3d8fede9,,,J38,PLACED,[ ],W,Lage Valkseweg,2.0,801.0,600947914.0,2024-03-01,Ede,GM0228,Wekerom,,https://wegkenmerken.ndw.nu/api/images/71f7ffca-a607-4d98-ad49-1a99c915e2c0,2018-06-29,2022-06-20,,,,5.712977787615,52.116603548244,POINT (5.712978 52.116604)
00128b47-98c3-4098-b260-0cb06c58d57e,,,J38,PLACED,[ ],Z,Beelaertsstraat,,,366075018.0,2024-03-01,Sittard-Geleen,GM1883,Obbicht,,https://wegkenmerken.ndw.nu/api/images/7eeaeccd-321e-4652-b805-bb812f7399d1,2016-08-17,2022-10-05,,,,5.7882117401829,51.028606663954,POINT (5.788212 51.028607)
0014c91e-6f34-4464-8b48-a32b6c1e5c9e,,,J38,PLACED,[ ],Z,Operaweg,,,600969143.0,2024-03-01,Amersfoort,GM0307,Amersfoort,,https://wegkenmerken.ndw.nu/api/images/6f7d8ba1-732a-4e1d-bdab-65d5ccc73476,2016-06-13,2022-05-30,,,,5.412591630044,52.157940552149,POINT (5.412592 52.157941)
0017ccc9-e193-4462-896e-84e195dc17c6,,,J38,PLACED,[ ],O,Molenweg,,,356285017.0,2024-03-01,Renkum,GM0274,Renkum,,https://wegkenmerken.ndw.nu/api/images/27bf5bcd-9edb-4964-a5f1-6047780f587f,2016-10-10,2022-03-23,,,,5.7298702593938,51.97521436825,POINT (5.72987 51.975214)
002351e1-ff07-4737-b24d-76feba5a4c7f,,,J38,PLACED,[ ],N,Kosterijweg,,,348325012.0,2024-03-01,Barneveld,GM0203,Kootwijkerbroek,,https://wegkenmerken.ndw.nu/api/images/8a899156-ea58-40c7-842a-e51c742446d7,2016-07-21,2022-08-10,,,,5.670186812245,52.15274033845,POINT (5.670187 52.15274)
0026bd8a-52e0-4519-9f09-346e15dda407,,,J38,PLACED,[ ],W,Parallelweg,,,327302003.0,2024-03-01,Renswoude,GM0339,Renswoude,,https://wegkenmerken.ndw.nu/api/images/cb56f73f-9aba-44fd-ba58-6446ea3b00f7,2016-02-12,2024-02-19,,,,5.5170113955515,52.050257140949,POINT (5.517011 52.050257)
002ac4cb-22c7-4730-bc58-a1c14b98810d,,,J38,PLACED,[ ],O,Couperuslaan,,,601136776.0,2024-03-01,Harderwijk,GM0243,Harderwijk,,https://wegkenmerken.ndw.nu/api/images/be087bc8-43c5-4b6a-8efd-d2f0d10da163,2016-09-20,2022-09-20,,,,5.6307596164742,52.345109313628,POINT (5.63076 52.345109)
003416b6-ae2d-47ed-99e6-88a850fcf6a3,,,J38,PLACED,[ ],O,Bloklaan,2.0,403.0,600946104.0,2024-03-01,Wijdemeren,GM1696,Loosdrecht,,https://wegkenmerken.ndw.nu/api/images/bf91907b-91d6-4db1-a435-7b6cb68d3f97,2017-02-01,2022-02-25,,,,5.0442434632838,52.20065724713,POINT (5.044243 52.200657)
003e1f09-8751-428f-9aa0-d79553626ccf,,,J38,PLACED,[ ],W,Korte Welleweg,,,148263011.0,2024-03-01,Voorne aan Zee,GM1992,Zwartewaal,,https://wegkenmerken.ndw.nu/api/images/44177236-fc4e-4151-8b99-78d4dab4fe29,2021-09-22,2022-09-19,,,,4.2188816936824,51.86752485206,POINT (4.218882 51.867525)
00433212-6421-4694-a3bb-a708b3120775,,,J38,PLACED,[ ],O,Kerkweg,,,220456005.0,2024-03-01,Schagen,GM0441,Sint Maarten,,https://wegkenmerken.ndw.nu/api/images/43d8a0ab-45a2-4b74-9d74-3e70210ce052,2016-11-08,2022-06-30,,,,4.7294395664905,52.739392692698,POINT (4.72944 52.739393)
0045a91a-3079-4908-803e-31edded109c4,,,J38,PLACED,[ ],N,Goudse Houtsingel,,,600892607.0,2024-03-01,Gouda,GM0513,Gouda,,https://wegkenmerken.ndw.nu/api/images/0eab91ad-2e98-40b0-b3f8-79fb65f0d866,2020-05-20,2022-06-13,,,,4.7273390240527,52.021932610151,POINT (4.727339 52.021933)
00511ddb-7c87-41e8-85ff-2fc0b9d9ba1a,,,J38,PLACED,[ ],N,Goverwelletunnel,,,600892803.0,2024-03-01,Gouda,GM0513,Gouda,,https://wegkenmerken.ndw.nu/api/images/0ad20377-98d0-4ff7-80b9-7007c132e8a5,2020-05-20,2022-06-13,,,,4.7419971463308,52.016824521612,POINT (4.741997 52.016825)
0052703b-399e-4460-8ed4-eff0a8918e94,,,J38,PLACED,[ ],Z,Rijksstraatweg,,,600463036.0,2024-03-01,Pijnacker-Nootdorp,GM1926,Delfgauw,,https://wegkenmerken.ndw.nu/api/images/91322050-113a-457d-94fe-62f5f04011af,2016-02-04,2022-05-30,,,,4.3922354150282,51.991595931179,POINT (4.392235 51.991596)
0054c977-c5bd-45e1-9764-9eed1824e75d,,,J38,PLACED,[ ],O,Lunenburg,,,601078002.0,2024-03-01,Dordrecht,GM0505,Dordrecht,,https://wegkenmerken.ndw.nu/api/images/66d47e88-5437-4e4c-bbd5-2ee0e735fc07,2016-03-08,2022-04-29,,,,4.6792316954325,51.774735037308,POINT (4.679232 51.774735)
005e4fe7-ac94-4f05-92a4-625c995378ee,,,J38,PLACED,[ ],N,Breudijk,,,253315004.0,2024-03-01,Woerden,GM0632,Harmelen,,https://wegkenmerken.ndw.nu/api/images/3fb7de31-c1af-4e3a-a4df-f64922ca6f0b,2016-06-09,2022-07-01,,,,4.9725662157169,52.106674390812,POINT (4.972566 52.106674)
005fc0ae-6994-47d5-bf4d-681021b9a238,,,J38,PLACED,[ ],N,Paardekopweg,,,375172001.0,2024-03-01,Deurne,GM0762,Deurne,,https://wegkenmerken.ndw.nu/api/images/e6a8cb96-830e-4564-aabc-6959b312f0b5,2020-11-03,2022-12-07,,,,5.8627968742846,51.461079564319,POINT (5.862797 51.46108)
00709831-06d4-4234-8923-43b42845ac2a,,,J38,PLACED,[ ],O,Grubbenvorsterweg,,,405162001.0,2024-03-01,Horst aan de Maas,GM1507,Hegelsom,,https://wegkenmerken.ndw.nu/api/images/4599b369-88a5-41c2-b4ad-d6e50471f40b,2021-11-26,2022-10-25,,,,6.0772337508203,51.420128797954,POINT (6.077234 51.420129)
007546af-00ce-4449-b3a4-bbd0034419b1,,,J38,PLACED,[ ],N,Booldersdijk,,,600220301.0,2024-03-01,Nederweert,GM0946,Nederweert,,https://wegkenmerken.ndw.nu/api/images/6ba24345-fea0-400f-8bb1-61d5790ae2eb,2021-06-28,2022-06-28,,,,5.7013613201906,51.318262420865,POINT (5.701361 51.318262)
0079f2e2-7d7b-449d-a70e-1a6041ea5000,,,J38,PLACED,[ ],N,Parklaan,,,398104049.0,2024-03-01,Roerdalen,GM1669,Melick,,https://wegkenmerken.ndw.nu/api/images/c0eea65f-5e9e-423f-9673-d9bfeaea19ea,2016-04-13,2022-03-03,,,,6.0185070364713,51.159846903513,POINT (6.018507 51.159847)
007d99cb-f5bc-41b7-a64d-6bf24c42c954,,,J38,PLACED,[ ],N,Zuideropgaande,,,465442007.0,2024-03-01,Hoogeveen,GM0118,Hollandscheveld,,https://wegkenmerken.ndw.nu/api/images/f533ffa7-6fa4-4c17-9d97-6c2e102c67a8,2020-03-23,2022-03-11,,,,6.5368297280235,52.673073417861,POINT (6.53683 52.673073)
00819634-0776-4493-8bdb-10d001ba72c2,,,J38,PLACED,[ ],W,Apeldoornsestraat,,,340333005.0,2024-03-01,Barneveld,GM0203,Voorthuizen,,https://wegkenmerken.ndw.nu/api/images/32e512f1-9397-42c1-9e0d-ec9c55a07427,2016-07-18,2022-08-12,,,,5.6101577178314,52.187651044547,POINT (5.610158 52.187651)
00850b1c-59ac-4c78-ae3e-63ae06948b36,,,J38,PLACED,[ ],N,C. van Eesterenlaan,,,600383256.0,2025-09-01,Amsterdam,GM0363,Amsterdam,,,2025-09-09,2025-09-09,,2025-09-09,,4.93861184818176,52.3722403994745,POINT (4.938612 52.37224)
00866c96-17c8-4868-a4af-efc7ef499c91,,,J38,PLACED,[ ],W,Admiralengracht,,,,,Amsterdam,GM0363,Amsterdam,,https://wegkenmerken.ndw.nu/api/images/18151cff-39da-4bfe-a28f-17458fa6db37,2016-08-23,2022-05-19,,,,4.8560990766535,52.371163768049,POINT (4.856099 52.371164)
008b2466-c291-466c-8f3a-3306d72ac7fc,,,J38,PLACED,[ ],W,'t Spijk,,,211391018.0,2024-03-01,Velsen,GM0453,Velsen-Zuid,,https://wegkenmerken.ndw.nu/api/images/1175014e-de34-4346-b50e-39901f43eacb,2019-12-27,2022-11-28,,,,4.6642200565102,52.446701319377,POINT (4.66422 52.446701)
008d817f-e207-4522-b7f4-9bb5cb854888,,,J38,PLACED,[ ],O,Heereweg,,,215450004.0,2024-03-01,Bergen (NH),GM0373,Schoorl,,https://wegkenmerken.ndw.nu/api/images/685f3d60-1bd1-4c15-b6a8-7ebe0ad97aee,2016-09-20,2022-11-15,,,,4.6876317567364,52.712258315398,POINT (4.687632 52.712258)
00957449-546b-4b8f-86d8-a5a6453b417d,,,J38,PLACED,[ ],Z,Koningin Wilhelminalaan,,,307324048.0,2024-03-01,Amersfoort,GM0307,Amersfoort,,https://wegkenmerken.ndw.nu/api/images/6e698f95-87ab-40df-b752-1027591c18a0,2020-04-16,2022-05-17,,,,5.3711092146108,52.150617548721,POINT (5.371109 52.150618)
00a195ed-82a3-4b60-bd97-67c180d37a80,,,J38,PLACED,[ ],Z,Oostvaardersdijk,2.0,701.0,600946535.0,2024-03-01,Almere,GM0034,Almere,,https://wegkenmerken.ndw.nu/api/images/d9a0b4f2-59fe-49fd-b050-a6cd899d16a1,2016-01-15,2022-03-16,,,,5.2279792519318,52.419794652372,POINT (5.227979 52.419795)
00a9df76-f938-4a3b-9af3-1972d96530ed,,,J38,PLACED,[ ],Z,Molenweg,,,601015463.0,2024-03-01,Land van Cuijk,GM1982,Vierlingsbeek,,https://wegkenmerken.ndw.nu/api/images/f064c28c-c235-430c-b939-7aafa161b16f,2021-01-26,2022-11-07,,,,5.9983895545858,51.597961321135,POINT (5.99839 51.597961)
00b0ee78-7030-4be3-a1d4-4b9823183358,,,J38,PLACED,[ ],Z,Oudelandseweg,,,600762584.0,2024-03-01,Woerden,GM0632,Woerden,,https://wegkenmerken.ndw.nu/api/images/0a864426-75d0-471c-82a0-622b3b0c6f7c,2018-06-07,2024-02-19,,,,4.8932835394815,52.091959949987,POINT (4.893284 52.09196)
00bd1695-f6bd-4c99-90e3-17c7d230ea69,,,J38,PLACED,[ ],O,Kapelweg,,,292199001.0,2024-03-01,Boxtel,GM0757,Boxtel,,https://wegkenmerken.ndw.nu/api/images/d685f60a-b299-4130-845d-a3be665a3af5,2016-02-12,2022-02-23,,,,5.2730572218985,51.588184587468,POINT (5.273057 51.588185)
00c0664c-4187-4014-a2a5-a9236a3a3813,,,J38,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""3 x"" } ]",W,Achterdijkshoorn,,,164293109.0,2024-03-01,Midden-Delfland,GM1842,Den Hoorn,,https://wegkenmerken.ndw.nu/api/images/29c9ffba-c3c6-480f-b73e-129052477906,2016-11-17,2022-11-10,,,,4.3258227724739,52.002963921641,POINT (4.325823 52.002964)
00c1842b-75ef-405f-9ea1-80c25ae50579,,,J38,PLACED,[ ],L,Amsterdamsevaart,,,213377010.0,2024-03-01,Haarlem,GM0392,Haarlem,,https://wegkenmerken.ndw.nu/api/images/586bd093-9047-46cc-bbb0-93a8d96d7977,2020-10-06,2022-10-02,,,,4.6812135622439,52.382999917322,POINT (4.681214 52.383)
00c3a38d-d592-428c-992a-7d53a82561de,,,J38,PLACED,[ ],W,Kievitstraat,,,600380933.0,2024-03-01,Woerden,GM0632,Woerden,,https://wegkenmerken.ndw.nu/api/images/b3b907a7-a7a4-4c55-a721-2a66de5b980a,2016-06-01,2022-07-06,,,,4.8835238673925,52.091141103542,POINT (4.883524 52.091141)
00c90c2c-21d7-4100-896e-95da491ce481,,,J38,PLACED,[ ],Z,Dijkstraat,,,356161001.0,2024-03-01,Asten,GM0743,Asten,,https://wegkenmerken.ndw.nu/api/images/d4421b6e-82f4-495e-8f56-b0916ab7d832,2016-04-28,2022-03-21,,,,5.7241608644121,51.415102965001,POINT (5.724161 51.415103)
00d3f378-d38f-44d9-8125-82c0dcc6fbb7,,,J38,PLACED,[ ],Z,Nieuwgraaf,,,600994169.0,2024-03-01,Duiven,GM0226,Duiven,,https://wegkenmerken.ndw.nu/api/images/81f263d0-d105-4205-bf30-499e1d596767,2020-03-24,2022-03-11,,,,5.9894600369273,51.966518666571,POINT (5.98946 51.966519)
00d4a1fd-dec1-4cfd-b52c-b17caf594290,,,J38,PLACED,[ ],O,Persingensestraat,,,600837213.0,2024-03-01,Berg en Dal,GM1945,Persingen,,https://wegkenmerken.ndw.nu/api/images/6dec100e-c8c2-4af5-9296-40dbfc668f8c,2022-03-14,2022-03-14,,,,5.923087134137,51.840851232704,POINT (5.923087 51.840851)
00d54ff5-1d25-4a64-bc8e-73e3bd3838b5,,,J38,PLACED,[ ],O,Hillegommerdijk,,,601089308.0,2024-03-01,Haarlemmermeer,GM0394,Lisserbroek,,https://wegkenmerken.ndw.nu/api/images/0ca36812-c151-4f8b-9c25-3112fd0d3588,2016-06-27,2022-07-13,,,,4.5833166009027,52.276825279058,POINT (4.583317 52.276825)
00d797de-7b25-4eff-a28f-d42a637acd74,,,J38,PLACED,[ ],O,Koppelweg,,,600418483.0,2024-03-01,Doesburg,GM0221,Doesburg,,https://wegkenmerken.ndw.nu/api/images/9178b0d4-79ba-4c69-a582-cf1f6f9d8214,2016-09-08,2022-10-11,,,,6.1334134381137,52.008199035873,POINT (6.133413 52.008199)
00d93de7-8e90-42df-b311-5749db2cb6ed,,,J38,PLACED,[ ],O,Bruynisstraat,,,317267134.0,2025-03-01,Tiel,GM0281,Tiel,,,2025-03-17,2025-03-17,,2025-03-17,,5.44499251708832,51.8924566404816,POINT (5.444993 51.892457)
00d958c8-1f9f-4b5f-80a0-06b7136efcbf,,,J38,PLACED,[ ],O,Lozerlaan,,,601013984.0,2024-03-01,'s-Gravenhage,GM0518,'s-Gravenhage,,https://wegkenmerken.ndw.nu/api/images/cbb3c6f5-606c-48d2-9779-c785a3852448,2016-10-03,2022-10-11,,,,4.2485849657236,52.037343443551,POINT (4.248585 52.037343)
00da2771-8446-4e8a-921e-e3c7040688b0,,,J38,PLACED,[ ],W,Hoofdweg,,,600742505.0,2024-03-01,Haarlemmermeer,GM0394,Nieuw-Vennep,,https://wegkenmerken.ndw.nu/api/images/e5d6dd84-9f79-4463-9448-0d181fe38d17,2016-06-28,2022-07-14,,,,4.6581630048572,52.281763682742,POINT (4.658163 52.281764)
00dc5021-8b5e-4a4f-bda5-7d2f919300bf,,,J38,PLACED,[ ],W,Valburgsestraat,,,600826142.0,2024-03-01,Overbetuwe,GM1734,Slijk-Ewijk,,https://wegkenmerken.ndw.nu/api/images/429d2871-7b69-41fc-afd2-84ead50f1b35,2021-01-22,2022-02-03,,,,5.780446312654,51.901629418587,POINT (5.780446 51.901629)
00e94f27-3bda-41d3-b28a-66b94cd59dd1,,,J38,PLACED,[ ],N,Leidsevaart,,,190349001.0,2024-03-01,Noordwijk,GM0575,Noordwijkerhout,,https://wegkenmerken.ndw.nu/api/images/960c8511-742f-4796-b31b-0bcd6a68b0b2,2016-05-17,2022-06-09,,,,4.5172534546323,52.258145978075,POINT (4.517253 52.258146)
00ef2e5e-dd24-4044-a4b5-1098307ac713,,,J38,PLACED,[ ],O,Weversstraat,,,383218006.0,2024-03-01,Land van Cuijk,GM1982,Beugen,,https://wegkenmerken.ndw.nu/api/images/3ef7fe7e-6f07-4288-ab9e-e186d2bae088,2017-01-10,2022-11-09,,,,5.9243727968533,51.670739250153,POINT (5.924373 51.670739)
00f2fc06-b150-47bb-979b-fda30195a2fb,,,J38,PLACED,[ ],Z,Schapenatjesduin,,,600929500.0,2024-03-01,'s-Gravenhage,GM0518,'s-Gravenhage,,https://wegkenmerken.ndw.nu/api/images/49fe8301-0414-4bb0-9ca5-4058538defbd,2020-09-30,2022-10-04,,,,4.2203051361444,52.064313417571,POINT (4.220305 52.064313)
00f4790b-5900-4f10-ac44-b14f8757188b,,,J38,PLACED,[ ],N,Leguijt,,,166193001.0,2024-03-01,Steenbergen,GM0851,Steenbergen,,https://wegkenmerken.ndw.nu/api/images/45a3fbf4-1f2b-4a78-8f14-940285775d6b,2016-06-03,2022-07-07,,,,4.3512324550426,51.554584777501,POINT (4.351232 51.554585)
00f5d947-7ac3-4786-a73e-d76156965a52,,,J38,PLACED,[ ],W,Groenezoom,,,600981642.0,2024-03-01,Dordrecht,GM0505,Dordrecht,,https://wegkenmerken.ndw.nu/api/images/dcce5194-da33-4101-b67b-e6a7d4f4134b,2016-03-10,2022-04-20,,,,4.7102731007609,51.80290040883,POINT (4.710273 51.8029)
00f63aaa-9c0b-4bf6-93bc-6e0ec2cd5e79,,,J38,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""3x"" } ]",W,Rijnbandijk,,,341277012.0,2024-03-01,Neder-Betuwe,GM1740,Opheusden,,https://wegkenmerken.ndw.nu/api/images/9ebb4e79-a13c-45dd-a706-0314c3f0a7de,2018-02-28,2022-02-28,,,,5.6121892137641,51.939289176163,POINT (5.612189 51.939289)
00f68824-2191-42b6-89cc-1b304aaac781,,,J38,PLACED,[ ],R,Leuvenumseweg,2.0,302.0,600947637.0,2024-03-01,Harderwijk,GM0243,Harderwijk,,https://wegkenmerken.ndw.nu/api/images/9324fb70-b7ce-4721-bd78-ecc6d2ba5b1f,2016-09-19,2022-09-19,,,,5.6402420414626,52.331979843838,POINT (5.640242 52.33198)
00f7ce02-20ec-4a51-a25d-e2317cb2cefc,,,J38,PLACED,[ ],O,Hoekseweg,,,188241001.0,2024-03-01,Hoeksche Waard,GM1963,Strijen,,https://wegkenmerken.ndw.nu/api/images/762e0dc6-74d8-4747-9567-1dc301d5c15c,2016-10-28,2022-09-12,,,,4.5262983652417,51.770602857591,POINT (4.526298 51.770603)
00f86af7-1029-41cf-ae37-92ed684d2bad,,,J38,PLACED,[ ],W,Vreuchdenberchdreef,,,272318004.0,2024-03-01,Utrecht,GM0344,Utrecht,,https://wegkenmerken.ndw.nu/api/images/8d79d63d-61a0-4dd0-badd-975aaa747194,2016-04-19,2022-03-22,,,,5.1150009073733,52.119803282106,POINT (5.115001 52.119803)
00f96be4-9960-44ef-9205-ef05f0ae3cf3,,,J38,PLACED,[ ],W,Bentz-Berg,,,267288041.0,2024-03-01,Vijfheerenlanden,GM1961,Vianen,,https://wegkenmerken.ndw.nu/api/images/b9775704-79a4-43f9-9ac8-0eac4f3ee9cb,2020-07-22,2022-07-10,,,,5.075713502531,51.986589773708,POINT (5.075714 51.98659)
010814e5-8032-4f0c-96b9-9f7a34fdb173,,,J38,PLACED,[ ],O,Achterzeedijk,,,601059406.0,2024-03-01,Barendrecht,GM0489,Barendrecht,,https://wegkenmerken.ndw.nu/api/images/ad5cc97c-02ae-43da-85d3-95030ef22029,2016-10-14,2022-11-14,,,,4.5458061050958,51.834822792295,POINT (4.545806 51.834823)
010994a2-b15f-4092-84f0-bde0e3dd613f,,,J38,PLACED,[ ],O,Hondsbergweg,,,377196004.0,2024-03-01,Land van Cuijk,GM1982,Overloon,,https://wegkenmerken.ndw.nu/api/images/23cdc51e-db5b-4a6b-bc80-49be4ce127cd,2020-02-03,2022-11-07,,,,5.8788013820834,51.575918521325,POINT (5.878801 51.575919)
010b7baf-5748-44cd-ba2f-3059402fba87,,,J38,PLACED,[ ],W,Vosseneindseweg,,,370240008.0,2024-03-01,Heumen,GM0252,Heumen,,https://wegkenmerken.ndw.nu/api/images/6ee28f0e-fbfc-4b0e-b8e0-6df271e9513e,2021-06-15,2022-04-30,,,,5.827766729592,51.767713608329,POINT (5.827767 51.767714)
01145eac-cb8d-40a6-8a32-6db7d3eea56d,,,J38,PLACED,[ ],Z,Runsdijk,,,600266463.0,2024-03-01,Boxtel,GM0757,Esch,,https://wegkenmerken.ndw.nu/api/images/01835c88-70db-48d9-9da0-e1dbdea58803,2016-05-20,2022-02-22,,,,5.3001875546122,51.614352550994,POINT (5.300188 51.614353)
