road,roadName,vulnerableUserAccidents
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_682662372,Goudenregenstraat,15
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7476571,Spui,9
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_98650448,Nieuwe Ebbingestraat,7
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6619089,Hertog Aalbrechtweg,6
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_694381878,Steijnlaan,6
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6966870,Stadswei,6
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_694361299,Beeklaan,6
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7474290,Theresiastraat,5
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_34471592,Kruisbroekweg,5
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1038246382,Richterslaan,5
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_135203121,Melis Stokelaan,5
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7489450,Troelstrakade,5
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_41484798,Sandifortdreef,5
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1395997274,Hildebrandstraat,5
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_139428939,Goeverneurlaan,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7480753,Van der Kunstraat,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_45869097,Spuiboulevard,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1097981340,Kempstraat,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_694328267,Hobbemastraat,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1187681964,van Panhuysstraat,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7481055,Parallelweg,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_131437481,Martin Luther Kingweg,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_416925668,Soestdijkseplein,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_72524221,Schalk Burgerstraat,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7486718,Duinweg,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7342796,Brugweg,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7000797,Emmastraat,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1079312311,Boven Westerdiep,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_130343739,Oranjelaan,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7515060,Westersingel,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_148090632,Baden Powellweg,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_334651291,Harenbergweg,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6580372,Keern,4
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7414930,Haarlemmerstraat,4
