rvvCode,signLabel,accidentCount
B6,Give way sign,89121
A1,Speed limit,58764
G11,Cycle route,53529
D2,Keep right/left of sign,53173
B1,Priority road,41827
E1,No parking,36463
E6,Disabled parking,36238
G12a,Cycle and moped route,36115
A2,End of speed limit,32164
C2,No entry (one direction),27934
E4,Parking area,23377
G7,Footpath,19075
C3,One-way street,18408
B5,Priority over minor road from right,15154
J24,Children crossing,14693
E7,Loading/unloading only,13637
B3,Crossroads with priority,12869
E8,Parking for specific vehicles,12678
J37,Danger (general),12525
C4,One-way street (alternative),12132
A3,Speed limit on electronic display,11385
C1,Road closed in both directions,10878
B4,Priority over minor road from left,10440
H1,Built-up area,10401
E2,No parking and stopping,10363
J21,Two-way traffic ahead,8143
H2,End of built-up area,7712
C7,No goods vehicles,7559
J38,Speed bump,7007
D4,Mandatory cycle lane,6961
E9,Permit holders only,6626
C15,No bicycles and mopeds,4923
D5,Mandatory path for riders,4876
E10,Controlled parking zone entry,4074
C19,No vehicles higher than indicated,4016
A4,Recommended speed,3705
J8,Dangerous crossing,3200
C12,No motor vehicles,2989
E11,End of controlled parking zone,2989
G12b,End of cycle and moped route,2801
G5,Living street,2489
G12,End of cycle route,2470
G6,End of living street,1775
D1,Roundabout,698
